Ballots with first choice:,Number of Ballots,Donald Trump Jr. ranked in top 3,Ivanka Trump ranked in top 3,Marco Rubio ranked in top 3,Mike Pence ranked in top 3,Nikki Haley ranked in top 3,Ted Cruz ranked in top 3
Donald Trump Jr.,67.80432456000003,67.80432456000003,28.569176734000003,4.277298299,40.206138670000016,7.873391566,24.573749621000005
Ivanka Trump,43.974843073,24.423221362,43.974843073,0.9484185470000001,25.082261102999997,5.377519475000001,16.454177511999998
Marco Rubio,33.933870211,4.126363271,1.4826351880000002,33.933870211,11.237784959,12.725158641999998,16.128939614999997
Mike Pence,180.18782818899987,42.168813813,33.332277516000005,58.268458511000055,180.18782818899987,33.821441406000005,78.01999539500007
Nikki Haley,75.34221212200005,10.939849119999998,9.307908936999999,27.754721608999997,31.601806913999994,75.34221212200005,36.709229124
Ted Cruz,73.91934336400004,15.986925466999999,6.332462844,33.290852205,44.05112750500002,28.299485491,73.91934336400004
