Ballots with first choice:,Number of Ballots,Adrienne Bennett ranked in top 3,Dale Crafts ranked in top 3,Eric Brakey ranked in top 3
Adrienne Bennett,150.14760789800008,100.0,46.47,28.35
Dale Crafts,225.54472530099986,44.72,100.0,25.47
Eric Brakey,112.87776446600007,33.38,39.91,100.0
