condorcet winner: Kamala Harris,Elizabeth Warren,Kamala Harris,Karen Bass,Stacey Abrams,Susan Rice,Tammy Duckworth,Val Demings
Elizabeth Warren,,417.30,641.71,580.61,566.87,587.29,622.22
Kamala Harris,505.73,,669.54,614.36,573.54,647.62,667.24
Karen Bass,104.74,100.11,,116.58,105.43,122.88,124.05
Stacey Abrams,253.54,215.75,354.88,,312.51,335.27,362.64
Susan Rice,330.21,303.60,432.36,409.05,,418.67,441.39
Tammy Duckworth,200.17,179.72,266.20,247.66,227.93,,262.60
Val Demings,125.52,106.11,161.02,144.39,119.66,144.60,
