contest,place,state,year,date,office,break_on_overvote,break_on_repeated_skipvotes,multi_winner_rounds,master_lookup,candidate_map,parser,idparser,rcv_type,num_winners,path
Cambridge City Council 2001,Cambridge,MA,2001,11/6/2001,City Council,TRUE,FALSE,TRUE,,,prm,,stv_whole_ballot,9,Ballot_Images/Cambridge/2001/Council - Wednesday/council.chp
Cambridge City Council 2003,Cambridge,MA,2003,11/4/2003,City Council,TRUE,FALSE,TRUE,,,prm,,stv_whole_ballot,9,Ballot_Images/Cambridge/2003/Council/Final/council.chp
Cambridge School Committee 2003,Cambridge,MA,2003,11/4/2003,School Committee,TRUE,FALSE,TRUE,,,prm,,stv_whole_ballot,6,Ballot_Images/Cambridge/2003/School/Final/school.chp
Cambridge City Council 2005,Cambridge,MA,2005,11/8/2005,City Council,TRUE,FALSE,TRUE,,,prm,,stv_whole_ballot,9,Ballot_Images/Cambridge/2005/Council/Wednesday/council.chp
Cambridge School Committee 2005,Cambridge,MA,2005,11/8/2005,School Committee,TRUE,FALSE,TRUE,,,prm,,stv_whole_ballot,6,Ballot_Images/Cambridge/2005/School/Wednesday/school.chp
Cambridge City Council 2007,Cambridge,MA,2007,11/6/2007,City Council,TRUE,FALSE,TRUE,,,prm,,stv_whole_ballot,9,Ballot_Images/Cambridge/2007/Council/Final/council.chp
Cambridge School Committee 2007,Cambridge,MA,2007,11/6/2007,School Committee,TRUE,FALSE,TRUE,,,prm,,stv_whole_ballot,6,Ballot_Images/Cambridge/2007/School/Final/school.chp
Cambridge City Council 2009,Cambridge,MA,2009,11/3/2009,City Council,TRUE,FALSE,TRUE,,,prm,,stv_whole_ballot,9,Ballot_Images/Cambridge/2009/Council/Final/council.chp
Cambridge City Council 2011,Cambridge,MA,2011,11/8/2011,City Council,TRUE,FALSE,TRUE,,,prm,,stv_whole_ballot,9,Ballot_Images/Cambridge/2011/Council/Final/council.chp
Cambridge School Committee 2011,Cambridge,MA,2011,11/8/2011,School Committee,TRUE,FALSE,TRUE,,,prm,,stv_whole_ballot,6,Ballot_Images/Cambridge/2011/School/Final/school.chp
Cambridge City Council 2013,Cambridge,MA,2013,11/5/2013,City Council,TRUE,FALSE,TRUE,,,prm,,stv_whole_ballot,9,Ballot_Images/Cambridge/2013/Council/Final/council.chp
Cambridge School Committee 2013,Cambridge,MA,2013,11/5/2013,School Committee,TRUE,FALSE,TRUE,,,prm,,stv_whole_ballot,6,Ballot_Images/Cambridge/2013/School/Final/school.chp
Cambridge City Council 2015,Cambridge,MA,2015,11/3/2015,City Council,TRUE,FALSE,TRUE,,,prm,,stv_whole_ballot,9,Ballot_Images/Cambridge/2015/council2015/council2015.chp
Cambridge School Committee 2015,Cambridge,MA,2015,11/3/2015,School Committee,TRUE,FALSE,TRUE,,,prm,,stv_whole_ballot,6,Ballot_Images/Cambridge/2015/school2015/school2015.chp
Cambridge City Council 2017,Cambridge,MA,2017,11/7/2017,City Council,TRUE,FALSE,TRUE,,,prm,,stv_whole_ballot,9,Ballot_Images/Cambridge/2017/2017/City Council/council 2017 FINAL Order Test.chp
Cambridge School Committee 2017,Cambridge,MA,2017,11/7/2017,School Committee,TRUE,FALSE,TRUE,,,prm,,stv_whole_ballot,6,Ballot_Images/Cambridge/2017/2017/School Committee/school 2017 FINAL Order Test.chp
Cambridge City Council 2019,Cambridge,MA,2019,11/15/2019,City Council,TRUE,FALSE,TRUE,,,prm,,stv_whole_ballot,9,Ballot_Images/Cambridge/2019/City Council/council 2019 Final.chp
Cambridge School Committee 2019,Cambridge,MA,2019,11/15/2019,School Committee,TRUE,FALSE,TRUE,,,prm,,stv_whole_ballot,6,Ballot_Images/Cambridge/2019/School Committee/school.chp
