Ballots with first choice:,Number of Ballots,AARON PESKIN ranked in top 3,DANNY SAUTER ranked in top 3,SPENCER SIMONSEN ranked in top 3,STEPHEN (LULU) SCHWARTZ ranked in top 3,writeIns ranked in top 3
AARON PESKIN,12703.0,100.0,60.3,42.33,21.76,0.24
DANNY SAUTER,8164.0,53.12,100.0,60.67,38.36,0.33
SPENCER SIMONSEN,1166.0,52.92,79.5,100.0,41.17,0.69
STEPHEN (LULU) SCHWARTZ,1106.0,39.33,79.84,68.17,100.0,0.18
writeIns,22.0,22.73,45.45,54.55,36.36,100.0
