Ballots with first choice:,Number of Ballots,AHSHA SAFAI ranked in top 3,JASON CHUYUAN ZENG ranked in top 3,JOHN AVALOS ranked in top 3,MARCELO COLUSSI ranked in top 3,writeIns ranked in top 3
AHSHA SAFAI,11839.0,100.0,0.03,75.19,69.97,0.41
JASON CHUYUAN ZENG,12.0,66.67,100.0,50.0,41.67,0.0
JOHN AVALOS,9903.0,77.39,0.0,100.0,69.51,0.32
MARCELO COLUSSI,2035.0,78.53,0.05,77.1,100.0,0.29
writeIns,27.0,40.74,0.0,37.04,25.93,100.0
