Ballots with first choice:,Number of Ballots,DANIEL LANDRY ranked in top 3,DEAN PRESTON ranked in top 3,NOMVULA O'MEARA ranked in top 3,VALLIE BROWN ranked in top 3,writeIns ranked in top 3
DANIEL LANDRY,1796,1796,1075,786,1195,9
DEAN PRESTON,17372,11086,17372,7414,7648,39
NOMVULA O'MEARA,839,639,442,839,446,2
VALLIE BROWN,13596,7461,6855,3858,13596,38
writeIns,20,8,9,5,4,20
