Ballots with first choice:,Number of Ballots,AARON PESKIN ranked in top 3,DANNY SAUTER ranked in top 3,SPENCER SIMONSEN ranked in top 3,STEPHEN (LULU) SCHWARTZ ranked in top 3,writeIns ranked in top 3
AARON PESKIN,12703,12703,7660,5377,2764,30
DANNY SAUTER,8164,4337,8164,4953,3132,27
SPENCER SIMONSEN,1166,617,927,1166,480,8
STEPHEN (LULU) SCHWARTZ,1106,435,883,754,1106,2
writeIns,22,5,10,12,8,22
