Ballots with first choice:,Number of Ballots,AHSHA SAFAI ranked in top 3,JASON CHUYUAN ZENG ranked in top 3,JOHN AVALOS ranked in top 3,MARCELO COLUSSI ranked in top 3,writeIns ranked in top 3
AHSHA SAFAI,11839,11839,4,8902,8284,48
JASON CHUYUAN ZENG,12,8,12,6,5,0
JOHN AVALOS,9903,7664,0,9903,6884,32
MARCELO COLUSSI,2035,1598,1,1569,2035,6
writeIns,27,11,0,10,7,27
