Ballots with first choice:,Number of Ballots,BUD RYERSON ranked in top 3,HILLARY RONEN ranked in top 3,writeIns ranked in top 3
BUD RYERSON,38,38,2,0
HILLARY RONEN,23058,2,23058,80
writeIns,101,0,25,101
