Ballots with first choice:,Number of Ballots,DANIEL LANDRY ranked in top 3,DEAN PRESTON ranked in top 3,NOMVULA O'MEARA ranked in top 3,VALLIE BROWN ranked in top 3,writeIns ranked in top 3
DANIEL LANDRY,1796.0,100.0,59.86,43.76,66.54,0.5
DEAN PRESTON,17372.0,63.82,100.0,42.68,44.02,0.22
NOMVULA O'MEARA,839.0,76.16,52.68,100.0,53.16,0.24
VALLIE BROWN,13596.0,54.88,50.42,28.38,100.0,0.28
writeIns,20.0,40.0,45.0,25.0,20.0,100.0
