,Donald Trump Jr.,Ivanka Trump,Marco Rubio,Mike Pence,Nikki Haley,Ted Cruz
first_choice,14.27,9.25,7.14,37.92,15.86,15.56
Donald Trump Jr.,,36.69,3.94,12.28,7.40,16.18
Ivanka Trump,28.10,,0.00,12.12,4.31,1.81
Marco Rubio,3.31,2.16,,15.24,27.47,21.44
Mike Pence,31.18,25.72,22.45,,23.44,32.81
Nikki Haley,2.73,4.91,20.29,12.63,,20.79
Ted Cruz,19.88,18.26,27.45,24.61,23.67,
exhaust,14.80,12.25,25.87,23.11,13.71,6.97
