,Donald Trump Jr.,Ivanka Trump,Marco Rubio,Mike Pence,Nikki Haley,Ted Cruz
first_choice,67.80,43.97,33.93,180.19,75.34,73.92
Donald Trump Jr.,,16.13,1.34,22.14,5.58,11.96
Ivanka Trump,19.05,,0.00,21.83,3.25,1.34
Marco Rubio,2.25,0.95,,27.47,20.69,15.85
Mike Pence,21.14,11.31,7.62,,17.66,24.25
Nikki Haley,1.85,2.16,6.88,22.76,,15.37
Ted Cruz,13.48,8.03,9.32,44.35,17.83,
exhaust,10.03,5.39,8.78,41.64,10.33,5.15
