,Adrienne Bennett,Dale Crafts,Eric Brakey
first_choice,30.73,46.16,23.10
Adrienne Bennett,,44.72,33.38
Dale Crafts,46.47,,39.91
Eric Brakey,28.35,25.47,
exhaust,25.18,29.81,26.71
