,Donald Trump Jr.,Ivanka Trump,Marco Rubio,Mike Pence,Nikki Haley,Ted Cruz
first_choice,14.27,9.25,7.14,37.92,15.86,15.56
Donald Trump Jr.,,41.81,5.31,15.98,8.58,17.39
Ivanka Trump,32.98,,0.00,15.76,5.00,1.94
Marco Rubio,3.89,2.46,,19.83,31.83,23.05
Mike Pence,36.60,29.32,30.28,,27.17,35.26
Nikki Haley,3.20,5.60,27.37,16.43,,22.35
Ted Cruz,23.34,20.81,37.04,32.01,27.43,
