,Adrienne Bennett,Dale Crafts,Eric Brakey
first_choice,150.15,225.54,112.88
Adrienne Bennett,,100.86,37.68
Dale Crafts,69.78,,45.04
Eric Brakey,42.57,57.45,
exhaust,37.80,67.24,30.15
