C:\Cambridge\Election2009\Council\Tuesday\Council Transfer Report


*** COUNT 2 ***

   000502-00-0329:  Toomey, Jr., Timothy J. --> Sullivan, Edward J.
   000502-00-0633:  Toomey, Jr., Timothy J. --> Reeves, Kenneth E.
   000502-00-0983:  Toomey, Jr., Timothy J. --> Sullivan, Edward J.
   000202-00-0005:  Toomey, Jr., Timothy J. --> Glick, Silvia P.
   000601-00-0126:  Toomey, Jr., Timothy J. --> Maher, David P.
   000601-00-0242:  Toomey, Jr., Timothy J. --> Kelley, Craig A.
   000601-00-0272:  Toomey, Jr., Timothy J. --> Ward, Larry W.
   000601-00-0338:  Toomey, Jr., Timothy J. --> Reeves, Kenneth E.
   000601-00-0358:  Toomey, Jr., Timothy J. --> Maher, David P.
   000601-00-0395:  Toomey, Jr., Timothy J. --> Maher, David P.
   000601-00-0438:  Toomey, Jr., Timothy J. --> Cheung, Leland
   000601-00-0703:  Toomey, Jr., Timothy J. --> Maher, David P.
   000601-00-0828:  Toomey, Jr., Timothy J. --> Maher, David P.
   000601-00-0916:  Toomey, Jr., Timothy J. --> Kelley, Craig A.
   000101-00-0021:  Toomey, Jr., Timothy J. --> Cheung, Leland
   000101-00-0044:  Toomey, Jr., Timothy J. --> Maher, David P.
   000101-00-0079:  Toomey, Jr., Timothy J. --> Maher, David P.
   000101-00-0141:  Toomey, Jr., Timothy J. --> Maher, David P.
   000101-00-0162:  Toomey, Jr., Timothy J. --> Reeves, Kenneth E.
   000101-00-0180:  Toomey, Jr., Timothy J. --> Kelley, Craig A.
   000101-00-0227:  Toomey, Jr., Timothy J. --> Maher, David P.
   000101-00-0260:  Toomey, Jr., Timothy J. --> Ward, Larry W.
   000101-00-0362:  Toomey, Jr., Timothy J. --> Kelley, Craig A.
   000101-00-0394:  Toomey, Jr., Timothy J. --> Kelley, Craig A.
   000101-00-0415:  Toomey, Jr., Timothy J. --> Sullivan, Edward J.
   000101-00-0448:  Toomey, Jr., Timothy J. --> Sullivan, Edward J.
   000101-00-0460:  Toomey, Jr., Timothy J. --> Maher, David P.
   000101-00-0472:  Toomey, Jr., Timothy J. --> Maher, David P.
   000101-00-0484:  Toomey, Jr., Timothy J. --> Sullivan, Edward J.
   000101-00-0504:  Toomey, Jr., Timothy J. --> Maher, David P.
   000101-00-0516:  Toomey, Jr., Timothy J. --> Maher, David P.
   000101-00-0530:  Toomey, Jr., Timothy J. --> Marquardt, Charles J.
   000101-00-0546:  Toomey, Jr., Timothy J. --> Sullivan, Edward J.
   000101-00-0557:  Toomey, Jr., Timothy J. --> Maher, David P.
