candidate,r1_active_percent,r1_count,r1_transfer,r2_active_percent,r2_count,r2_transfer,r3_active_percent,r3_count,r3_transfer
writeIns,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
DEAN PRESTON,47.476,11239.0,70.0,47.917,11309.0,414.0,50.402,11723.0,
VALLIE BROWN,47.337,11206.0,51.0,47.697,11257.0,279.0,49.598,11536.0,
NOMVULA O'MEARA,1.174,278.0,-278.0,0.0,0.0,0.0,0.0,0.0,
RYAN LAM,4.013,950.0,85.0,4.385,1035.0,-1035.0,0.0,0.0,
exhaust,0.0,40.0,72.0,0.0,112.0,342.0,0.0,454.0,
colsum,100.00000000000001,23713.0,0.0,99.99900000000001,23713.0,0.0,100.0,23713.0,
