candidate,r1_active_percent,r1_count,r1_transfer
Jay R. Shah,4.022,1387.0,
Steve Braccini,16.791,5791.0,
Michela Alioto-pier,61.233,21118.0,
David Pascal,12.28,4235.0,
Roger E. Schulke,5.674,1957.0,
exhaust,0.0,95.0,
colsum,100.0,34583.0,
