contest_name,place,state,year,date,office,rcv_type,number_of_winners,tabulation_num,unique_id,winner,number_of_candidates,number_of_rounds,final_round_winner_vote,final_round_winner_percent,final_round_active_votes,first_round_winner_vote,first_round_winner_percent,first_round_active_votes,first_round_winner_place,final_round_winner_votes_over_first_round_valid,winners_consensus_value,condorcet,come_from_behind,effective_ballot_length,first_round_overvote,ranked_single,ranked_multiple,total_fully_ranked,ranked_winner,includes_duplicate_ranking,includes_skipped_ranking,total_irregular,total_ballots,total_ballots_with_overvote,total_undervote,total_exhausted,total_exhausted_by_overvote,total_exhausted_by_skipped_rankings,total_exhausted_by_abstention,total_exhausted_by_rank_limit
,,,,,,,Number of winners a contest had.,Tabulation number,,The winner(s) of the election.,"The number of candidates on the ballot, not including write-ins.",Number of rounds in the tabulation.,"The percent of votes for the winner in the final round. If more than one winner, return the final round count for the first winner elected. (weighted)","The percent of votes for the winner in the final round. If more than one winner, return the final round count for the first winner elected. (weighted)",The number of votes that were awarded to any candidate in the final round. (weighted),"The number of votes for the winner in the first round. In the case of multi-winner elections, this result will only pertain to the first candidate elected. (weighted)","The percent of votes for the winner in the first round. In the case of multi-winner elections, this result will only pertain to the first candidate elected. (weighted)",The number of votes that were awarded to any candidate in the first round. (weighted),"In terms of first round votes, what place the eventual winner came in. In the case of multi-winner elections, this result will only pertain to the first candidate elected.","The number of votes the winner receives in the final round divided by the number of valid votes in the first round. Reported as percentage. If more than one winner, return the final round count for the first winner elected. (weighted)",The percentage of valid first round votes that rank any winner in the top 3.,"Is the winner the condorcet winner? The condorcet winner is the candidate that would win a 1-on-1 election versus any other candidate in the election. Note that this calculation depends on jurisdiction dependant rule variations. In the case of multi-winner elections, this result will only pertain to the first candidate elected.","""yes"" if rcv winner is not first round leader, else ""no"". In the case of multi-winner elections, this result will only pertain to the first candidate elected.","A list of validly ranked choices, and how many ballots had that number of valid choices. (weighted)","The number of ballots with an overvote before any valid ranking. (weighted) Note that this is not the same as ""exhausted by overvote"". This is because some jurisdictions (Maine) discard any ballot beginning with two skipped rankings, and call this ballot as exhausted by skipped rankings, even if the skipped rankings are followed by an overvote. Other jursidictions (Minneapolis) simply skip over overvotes in a ballot.",The number of voters that validly used only a single ranking. (weighted),The number of voters that validly use more than one ranking. (weighted),"The number of voters that have validly used all available rankings on the ballot, or that have validly ranked all non-write-in candidates. (weighted)",Number of ballots with a non-overvote mark for the winner,The number of ballots that rank the same candidate more than once. (weighted),The number of ballots that have an skipped ranking followed by any other mark valid ranking. (weighted),"Number of ballots that either had a multiple ranking, overvote, or a skipped ranking. This includes ballots even where the irregularity was not the cause of exhaustion. (weighted)",This includes ballots with no marks. (weighted),Number of ballots with at least one overvote. Not necessarily cause of exhaustion. (weighted),Ballots completely made up of skipped rankings (no marks). (weighted),Number of ballots (excluding undervotes) that do not rank a finalist or were exhausted from overvotes/skipped ranks rules. (weighted),Number of ballots exhausted due to overvote. Only applicable to certain contests. (weighted),Number of ballots exhausted due to repeated skipped rankings. Only applicable to certain contests. (weighted),Number of ballots exhausted after all marked rankings used and ballot is not fully ranked. (weighted),Number of ballots exhausted after all marked rankings used and ballot is fully ranked. Fully ranked here means the last rank was used OR all candidates were ranked(weighted)
"San Francisco Board of Supervisors, District 5 2019",San Francisco,CA,2019,11/5/2019,"Member, Board of Supervisors, District 5",rcv_single_winner,1,1,SanFrancisco_11052019_MemberBoardofSupervisorsDistrict5_tab1,Dean Preston,4,3,11723.0,50.40199492669504,23259.0,11239.0,47.4760275419254,23673.0,1,49.520550838508,68.238077134288,yes,no,0: 1089; 1: 11388; 2: 4962; 3: 1811; 4: 5512,40.0,11360.0,12335.0,5512.0,16944,609.0,437.0,1126.0,24762.0,127.0,1049.0,454.0,48.0,0.0,376.0,30.0
San Francisco City Attorney 2019,San Francisco,CA,2019,11/5/2019,City Attorney,rcv_single_winner,1,1,SanFrancisco_11052019_CityAttorney_tab1,Dennis J. Herrera,1,1,163850.0,99.99084612333323,163865.0,163850.0,99.99084612333323,163865.0,1,99.99084612333323,99.99267689866659,yes,no,0: 42220; 1: 163857; 2: 8,62.0,163861.0,8.0,163851.0,163853,3728.0,2550.0,6298.0,206085.0,69.0,42158.0,62.0,62.0,0.0,0.0,0.0
San Francisco District Attorney 2019,San Francisco,CA,2019,11/5/2019,District Attorney,rcv_single_winner,1,1,SanFrancisco_11052019_DistrictAttorney_tab1,Chesa Boudin,4,4,86696.0,50.82990836123146,170561.0,68792.0,35.612155096547085,193170.0,1,44.88067505306207,54.95470311124916,yes,no,0: 12915; 1: 77248; 2: 30702; 3: 25521; 4: 59699,525.0,77136.0,116284.0,59699.0,124323,4965.0,2907.0,8668.0,206085.0,1117.0,12390.0,23134.0,717.0,0.0,21128.0,1289.0
San Francisco Mayor 2019,San Francisco,CA,2019,11/5/2019,Mayor,rcv_single_winner,1,1,SanFrancisco_11052019_Mayor_tab1,London N. Breed,7,1,126207.0,70.28642077065732,179561.0,126207.0,70.28642077065732,179561.0,1,70.28642077065732,78.76933187050639,yes,no,0: 26524; 1: 91799; 2: 19757; 3: 16699; 4: 3388; 5: 8386; 6: 39532,601.0,91690.0,88193.0,39532.0,153965,7339.0,6593.0,14786.0,206085.0,1690.0,25923.0,601.0,601.0,0.0,0.0,0.0
San Francisco Public Defender 2019,San Francisco,CA,2019,11/5/2019,Public Defender,rcv_single_winner,1,1,SanFrancisco_11052019_PublicDefender_tab1,"Manohar ""Mano"" Raju",1,1,161295.0,99.99442047314388,161304.0,161295.0,99.99442047314388,161304.0,1,99.99442047314388,99.9956603680008,yes,no,0: 44781; 1: 161295; 2: 9,47.0,161297.0,9.0,161297.0,161297,3115.0,2796.0,5916.0,206085.0,51.0,44734.0,47.0,47.0,0.0,0.0,0.0
San Francisco Sheriff 2019,San Francisco,CA,2019,11/5/2019,Sheriff,rcv_single_winner,1,1,SanFrancisco_11052019_Sheriff_tab1,Paul Miyamoto,1,1,149025.0,99.99463206135553,149033.0,149025.0,99.99463206135553,149033.0,1,99.99463206135553,99.99798702300833,yes,no,0: 57052; 1: 149023; 2: 10,49.0,149027.0,10.0,149028.0,149030,2959.0,2455.0,5420.0,206085.0,50.0,57003.0,49.0,49.0,0.0,0.0,0.0
San Francisco Treasurer 2019,San Francisco,CA,2019,11/5/2019,Treasurer,rcv_single_winner,1,1,SanFrancisco_11052019_Treasurer_tab1,José Cisneros,1,1,154847.0,99.9961253575972,154853.0,154847.0,99.9961253575972,154853.0,1,99.99612535759721,99.9980626787986,yes,no,0: 51232; 1: 154846; 2: 7,46.0,154848.0,7.0,154850.0,154850,3052.0,2204.0,5263.0,206085.0,48.0,51186.0,46.0,46.0,0.0,0.0,0.0
