ballotID,rank1,rank2,rank3,rank4,rank5
12412,Alan Webber,Joseph M. Maestas,Kate I. Noble,Peter N. Ives,Ronald S. Trujillo
12413,Alan Webber,Kate I. Noble,Peter N. Ives,Joseph M. Maestas,Ronald S. Trujillo
12414,Alan Webber,Ronald S. Trujillo,skipped,skipped,skipped
12415,Peter N. Ives,Joseph M. Maestas,Kate I. Noble,Alan Webber,Ronald S. Trujillo
12416,Kate I. Noble,Ronald S. Trujillo,Peter N. Ives,Joseph M. Maestas,Alan Webber
12417,Alan Webber,Ronald S. Trujillo,Kate I. Noble,Ronald S. Trujillo,Kate I. Noble
12418,Kate I. Noble,Alan Webber,Joseph M. Maestas,Peter N. Ives,Ronald S. Trujillo
12419,Kate I. Noble,Alan Webber,Peter N. Ives,Ronald S. Trujillo,Joseph M. Maestas
12420,Kate I. Noble,Peter N. Ives,Joseph M. Maestas,Alan Webber,Ronald S. Trujillo
12421,Peter N. Ives,Alan Webber,Ronald S. Trujillo,Kate I. Noble,Joseph M. Maestas
12422,Kate I. Noble,Alan Webber,skipped,skipped,skipped
12423,Ronald S. Trujillo,Kate I. Noble,skipped,skipped,skipped
12424,Ronald S. Trujillo,Joseph M. Maestas,Alan Webber,Kate I. Noble,Peter N. Ives
12425,Ronald S. Trujillo,Peter N. Ives,Joseph M. Maestas,skipped,skipped
12426,Kate I. Noble,Peter N. Ives,Joseph M. Maestas,Ronald S. Trujillo,Alan Webber
12427,Kate I. Noble,Alan Webber,Joseph M. Maestas,Peter N. Ives,Ronald S. Trujillo
12428,Alan Webber,Kate I. Noble,Peter N. Ives,Joseph M. Maestas,Ronald S. Trujillo
12429,Alan Webber,Joseph M. Maestas,Kate I. Noble,skipped,skipped
12430,Joseph M. Maestas,Alan Webber,Kate I. Noble,Peter N. Ives,Ronald S. Trujillo
12431,Kate I. Noble,Alan Webber,Ronald S. Trujillo,Peter N. Ives,Joseph M. Maestas
12432,Kate I. Noble,Joseph M. Maestas,Alan Webber,Ronald S. Trujillo,Peter N. Ives
12433,Kate I. Noble,Alan Webber,Peter N. Ives,Ronald S. Trujillo,Joseph M. Maestas
12434,Alan Webber,Kate I. Noble,Peter N. Ives,Joseph M. Maestas,Ronald S. Trujillo
12435,Kate I. Noble,Joseph M. Maestas,Peter N. Ives,Ronald S. Trujillo,Alan Webber
12436,Ronald S. Trujillo,Joseph M. Maestas,skipped,skipped,skipped
12437,Alan Webber,Joseph M. Maestas,Kate I. Noble,Peter N. Ives,Ronald S. Trujillo
12438,Ronald S. Trujillo,Alan Webber,Joseph M. Maestas,Kate I. Noble,Peter N. Ives
12439,Ronald S. Trujillo,Peter N. Ives,Kate I. Noble,Joseph M. Maestas,Alan Webber
12440,Peter N. Ives,Alan Webber,Kate I. Noble,Joseph M. Maestas,Ronald S. Trujillo
12441,Ronald S. Trujillo,Joseph M. Maestas,Alan Webber,Peter N. Ives,Kate I. Noble
12442,Alan Webber,Joseph M. Maestas,Kate I. Noble,skipped,skipped
12443,Alan Webber,Joseph M. Maestas,Peter N. Ives,Ronald S. Trujillo,Kate I. Noble
12444,Kate I. Noble,Alan Webber,Joseph M. Maestas,Peter N. Ives,Ronald S. Trujillo
12445,Alan Webber,Peter N. Ives,Kate I. Noble,Joseph M. Maestas,skipped
12446,Alan Webber,Kate I. Noble,Joseph M. Maestas,Ronald S. Trujillo,Peter N. Ives
12447,Ronald S. Trujillo,Alan Webber,Joseph M. Maestas,Peter N. Ives,Kate I. Noble
12448,Joseph M. Maestas,Peter N. Ives,Kate I. Noble,Ronald S. Trujillo,Alan Webber
12449,Ronald S. Trujillo,Joseph M. Maestas,Kate I. Noble,Peter N. Ives,Alan Webber
12450,Alan Webber,Kate I. Noble,Peter N. Ives,Joseph M. Maestas,Ronald S. Trujillo
12451,Kate I. Noble,Alan Webber,Ronald S. Trujillo,Joseph M. Maestas,Peter N. Ives
12452,Alan Webber,Kate I. Noble,Joseph M. Maestas,Ronald S. Trujillo,Peter N. Ives
12453,Alan Webber,Joseph M. Maestas,Peter N. Ives,skipped,skipped
12454,Ronald S. Trujillo,Joseph M. Maestas,Kate I. Noble,Alan Webber,Peter N. Ives
12455,Joseph M. Maestas,Kate I. Noble,Alan Webber,Peter N. Ives,Ronald S. Trujillo
12456,Kate I. Noble,Alan Webber,Joseph M. Maestas,Peter N. Ives,Ronald S. Trujillo
12457,Alan Webber,Kate I. Noble,Joseph M. Maestas,skipped,skipped
12458,Kate I. Noble,Alan Webber,Peter N. Ives,Joseph M. Maestas,Ronald S. Trujillo
12459,Kate I. Noble,Joseph M. Maestas,Alan Webber,Ronald S. Trujillo,Peter N. Ives
12460,Joseph M. Maestas,Kate I. Noble,Alan Webber,Peter N. Ives,Ronald S. Trujillo
12461,Peter N. Ives,Ronald S. Trujillo,Joseph M. Maestas,Kate I. Noble,Alan Webber
12462,Kate I. Noble,Joseph M. Maestas,Peter N. Ives,skipped,skipped
12463,Alan Webber,Kate I. Noble,Peter N. Ives,Joseph M. Maestas,Ronald S. Trujillo
12464,Kate I. Noble,Alan Webber,Peter N. Ives,Joseph M. Maestas,Ronald S. Trujillo
12465,Ronald S. Trujillo,Peter N. Ives,Joseph M. Maestas,Kate I. Noble,Alan Webber
12466,Joseph M. Maestas,Kate I. Noble,Alan Webber,Peter N. Ives,skipped
12467,Alan Webber,Kate I. Noble,Ronald S. Trujillo,Joseph M. Maestas,Peter N. Ives
12468,Kate I. Noble,Alan Webber,Peter N. Ives,skipped,skipped
12469,Alan Webber,Ronald S. Trujillo,Kate I. Noble,Peter N. Ives,Joseph M. Maestas
12470,Alan Webber,Ronald S. Trujillo,Kate I. Noble,Joseph M. Maestas,Peter N. Ives
12471,Joseph M. Maestas,Kate I. Noble,Alan Webber,Peter N. Ives,skipped
12472,Ronald S. Trujillo,Joseph M. Maestas,Peter N. Ives,Alan Webber,Kate I. Noble
12473,Alan Webber,Kate I. Noble,Joseph M. Maestas,Peter N. Ives,Ronald S. Trujillo
12474,Alan Webber,Peter N. Ives,Joseph M. Maestas,Kate I. Noble,Ronald S. Trujillo
12475,Ronald S. Trujillo,Joseph M. Maestas,skipped,skipped,skipped
12476,Alan Webber,Peter N. Ives,Joseph M. Maestas,Kate I. Noble,Ronald S. Trujillo
12477,Alan Webber,Peter N. Ives,skipped,skipped,skipped
12478,Alan Webber,Kate I. Noble,skipped,skipped,skipped
12479,Alan Webber,Joseph M. Maestas,Ronald S. Trujillo,Peter N. Ives,Kate I. Noble
12480,Kate I. Noble,Alan Webber,Joseph M. Maestas,skipped,skipped
12481,Kate I. Noble,Alan Webber,Joseph M. Maestas,Peter N. Ives,Ronald S. Trujillo
12482,Ronald S. Trujillo,Joseph M. Maestas,Peter N. Ives,Alan Webber,Kate I. Noble
12483,Ronald S. Trujillo,Joseph M. Maestas,Kate I. Noble,Alan Webber,Peter N. Ives
12484,Peter N. Ives,Alan Webber,Kate I. Noble,Ronald S. Trujillo,Joseph M. Maestas
12485,Joseph M. Maestas,Kate I. Noble,Peter N. Ives,Ronald S. Trujillo,skipped
12486,Ronald S. Trujillo,Joseph M. Maestas,Alan Webber,Kate I. Noble,Peter N. Ives
12487,Kate I. Noble,Alan Webber,Peter N. Ives,skipped,skipped
12488,Ronald S. Trujillo,Alan Webber,skipped,skipped,skipped
12489,Kate I. Noble,Alan Webber,Joseph M. Maestas,Ronald S. Trujillo,Peter N. Ives
12490,Alan Webber,Kate I. Noble,skipped,skipped,skipped
12491,Alan Webber,Kate I. Noble,Joseph M. Maestas,Peter N. Ives,Ronald S. Trujillo
12492,Kate I. Noble,Peter N. Ives,Kate I. Noble,Ronald S. Trujillo,Joseph M. Maestas
12493,Alan Webber,Peter N. Ives,Joseph M. Maestas,Ronald S. Trujillo,Kate I. Noble
12494,Alan Webber,Peter N. Ives,Joseph M. Maestas,Ronald S. Trujillo,Kate I. Noble
12495,Alan Webber,Kate I. Noble,Peter N. Ives,Joseph M. Maestas,Ronald S. Trujillo
12496,Joseph M. Maestas,Ronald S. Trujillo,Alan Webber,Kate I. Noble,Peter N. Ives
12497,Joseph M. Maestas,Peter N. Ives,Ronald S. Trujillo,Kate I. Noble,Alan Webber
12498,Ronald S. Trujillo,Alan Webber,skipped,skipped,skipped
12499,Alan Webber,Kate I. Noble,Ronald S. Trujillo,skipped,skipped
12500,Peter N. Ives,Alan Webber,Kate I. Noble,Joseph M. Maestas,Ronald S. Trujillo
12501,Ronald S. Trujillo,Alan Webber,Peter N. Ives,Kate I. Noble,Joseph M. Maestas
12502,Ronald S. Trujillo,Alan Webber,Joseph M. Maestas,Peter N. Ives,Kate I. Noble
12503,Joseph M. Maestas,Kate I. Noble,Alan Webber,skipped,skipped
12504,Ronald S. Trujillo,Joseph M. Maestas,skipped,skipped,skipped
12505,Alan Webber,Peter N. Ives,Kate I. Noble,skipped,skipped
12506,Kate I. Noble,Alan Webber,Peter N. Ives,Joseph M. Maestas,Ronald S. Trujillo
12507,Kate I. Noble,Joseph M. Maestas,Peter N. Ives,skipped,skipped
12508,Alan Webber,Kate I. Noble,Ronald S. Trujillo,Joseph M. Maestas,Peter N. Ives
