check contests.py for typecast options,,
field,typecast,default
contest,str,""""""
place,str,""""""
state,str,""""""
date,str,""""""
office,str,""""""
break_on_overvote,bool,TRUE
break_on_repeated_skipvotes,bool,FALSE
write_ins,int,0
master_lookup,str,None
chp,str,None
candidate_map,str,None
parser,func,None
idparser,func,None
num_winners,int,1
path,str,None
state_code,str,None
county,str,None
rcv_type,func,None
