contest,place,state,year,date,office,break_on_overvote,break_on_repeated_skipvotes,multi_winner_rounds,state_code,county,master_lookup,candidate_map,parser,idparser,rcv_type,num_winners,path
San Francisco District 1 2004,San Francisco,CA,2004,11/5/2004,Board of Supervisors District 1,TRUE,FALSE,,"""06""","""075""",,Ballot_Images/San Francisco/RCVCalc Ballot Images/2004/D01-Cntl.txt,old,,rcv_single_winner,1,Ballot_Images/San Francisco/RCVCalc Ballot Images/2004/D01-Ballots.txt
San Francisco District 11 2004,San Francisco,CA,2004,11/2/2004,Board of Supervisors District 11,TRUE,FALSE,,"""06""","""075""",,Ballot_Images/San Francisco/RCVCalc Ballot Images/2004/D11-Cntl.txt,old,,rcv_single_winner,1,Ballot_Images/San Francisco/RCVCalc Ballot Images/2004/D11-Ballots.txt
San Francisco District 2 2004,San Francisco,CA,2004,11/2/2004,Board of Supervisors District 2,TRUE,FALSE,,"""06""","""075""",,Ballot_Images/San Francisco/RCVCalc Ballot Images/2004/D02-Cntl.txt,old,,rcv_single_winner,1,Ballot_Images/San Francisco/RCVCalc Ballot Images/2004/D02-Ballots.txt
San Francisco District 3 2004,San Francisco,CA,2004,11/2/2004,Board of Supervisors District 3,TRUE,FALSE,,"""06""","""075""",,Ballot_Images/San Francisco/RCVCalc Ballot Images/2004/D03-Cntl.txt,old,,rcv_single_winner,1,Ballot_Images/San Francisco/RCVCalc Ballot Images/2004/D03-Ballots.txt
San Francisco District 5 2004,San Francisco,CA,2004,11/2/2004,Board of Supervisors District 5,TRUE,FALSE,,"""06""","""075""",,Ballot_Images/San Francisco/RCVCalc Ballot Images/2004/D05-Cntl.txt,old,,rcv_single_winner,1,Ballot_Images/San Francisco/RCVCalc Ballot Images/2004/D05-Ballots.txt
San Francisco District 7 2004,San Francisco,CA,2004,11/2/2004,Board of Supervisors District 7,TRUE,FALSE,,"""06""","""075""",,Ballot_Images/San Francisco/RCVCalc Ballot Images/2004/D07-Cntl.txt,old,,rcv_single_winner,1,Ballot_Images/San Francisco/RCVCalc Ballot Images/2004/D07-Ballots.txt
San Francisco District 9 2004,San Francisco,CA,2004,11/2/2004,Board of Supervisors District 9,TRUE,FALSE,,"""06""","""075""",,Ballot_Images/San Francisco/RCVCalc Ballot Images/2004/D09-Cntl.txt,old,,rcv_single_winner,1,Ballot_Images/San Francisco/RCVCalc Ballot Images/2004/D09-Ballots.txt
San Francisco Assessor-Recorder 2005,San Francisco,CA,2005,11/8/2005,Assessor-Recorder,TRUE,FALSE,,"""06""","""075""",,Ballot_Images/San Francisco/RCVCalc Ballot Images/2005/AR-Cntl.txt,old,,rcv_single_winner,1,Ballot_Images/San Francisco/RCVCalc Ballot Images/2005/AR-Ballots.txt
San Francisco Treasurer 2005,San Francisco,CA,2005,11/8/2005,Treasurer,TRUE,FALSE,,"""06""","""075""",,Ballot_Images/San Francisco/RCVCalc Ballot Images/2005/TR-Cntl.txt,old,,rcv_single_winner,1,Ballot_Images/San Francisco/RCVCalc Ballot Images/2005/TR-Ballots.txt
San Francisco Board of Supervisors District 10 2006,San Francisco,CA,2006,11/7/2006,Board of Supervisors District 10,TRUE,FALSE,,"""06""","""075""",,Ballot_Images/San Francisco/RCVCalc Ballot Images/2006/D10-Cntl.txt,old,,rcv_single_winner,1,Ballot_Images/San Francisco/RCVCalc Ballot Images/2006/D10-Ballots.txt
San Francisco Board of Supervisors District 2 2006,San Francisco,CA,2006,11/7/2006,Board of Supervisors District 2,TRUE,FALSE,,"""06""","""075""",,Ballot_Images/San Francisco/RCVCalc Ballot Images/2006/D02-Cntl.txt,old,,rcv_single_winner,1,Ballot_Images/San Francisco/RCVCalc Ballot Images/2006/D02-Ballots.txt
San Francisco Board of Supervisors District 4 2006,San Francisco,CA,2006,11/7/2006,Board of Supervisors District 4,TRUE,FALSE,,"""06""","""075""",,Ballot_Images/San Francisco/RCVCalc Ballot Images/2006/D04-Cntl.txt,old,,rcv_single_winner,1,Ballot_Images/San Francisco/RCVCalc Ballot Images/2006/D04-Ballots.txt
San Francisco Board of Supervisors District 6 2006,San Francisco,CA,2006,11/7/2006,Board of Supervisors District 6,TRUE,FALSE,,"""06""","""075""",,Ballot_Images/San Francisco/RCVCalc Ballot Images/2006/D06-Cntl.txt,old,,rcv_single_winner,1,Ballot_Images/San Francisco/RCVCalc Ballot Images/2006/D06-Ballots.txt
San Francisco Board of Supervisors District 8 2006,San Francisco,CA,2006,11/7/2006,Board of Supervisors District 8,TRUE,FALSE,,"""06""","""075""",,Ballot_Images/San Francisco/RCVCalc Ballot Images/2006/D08-Cntl.txt,old,,rcv_single_winner,1,Ballot_Images/San Francisco/RCVCalc Ballot Images/2006/D08-Ballots.txt
San Francisco Mayor 2007,San Francisco,CA,2007,11/6/2007,Mayor,TRUE,FALSE,,"""06""","""075""",,Ballot_Images/San Francisco/RCVCalc Ballot Images/2007/MYR-Cntl.txt,old,,rcv_single_winner,1,Ballot_Images/San Francisco/RCVCalc Ballot Images/2007/MYR-Ballots.txt
San Francisco Board of Supervisors District 1 2008,San Francisco,CA,2008,11/4/2008,Board of Supervisors District 1,TRUE,FALSE,,"""06""","""075""",,,"partial(sf, '0000003')",,rcv_single_winner,1,Ballot_Images/San Francisco/San Fran_Nov 2008_All District races/CityWide_BallotImage.txt
San Francisco Board of Supervisors District 11 2008,San Francisco,CA,2008,11/4/2008,Board of Supervisors District 11,TRUE,FALSE,,"""06""","""075""",,,"partial(sf, '0000004')",,rcv_single_winner,1,Ballot_Images/San Francisco/San Fran_Nov 2008_All District races/CityWide_BallotImage.txt
San Francisco Board of Supervisors District 3 2008,San Francisco,CA,2008,11/4/2008,Board of Supervisors District 3,TRUE,FALSE,,"""06""","""075""",,,"partial(sf, '0000005')",,rcv_single_winner,1,Ballot_Images/San Francisco/San Fran_Nov 2008_All District races/CityWide_BallotImage.txt
San Francisco Board of Supervisors District 4 2008,San Francisco,CA,2008,11/4/2008,Board of Supervisors District 4,TRUE,FALSE,,"""06""","""075""",,,"partial(sf, '0000006')",,rcv_single_winner,1,Ballot_Images/San Francisco/San Fran_Nov 2008_All District races/CityWide_BallotImage.txt
San Francisco Board of Supervisors District 5 2008,San Francisco,CA,2008,11/4/2008,Board of Supervisors District 5,TRUE,FALSE,,"""06""","""075""",,,"partial(sf, '0000007')",,rcv_single_winner,1,Ballot_Images/San Francisco/San Fran_Nov 2008_All District races/CityWide_BallotImage.txt
San Francisco Board of Supervisors District 7 2008,San Francisco,CA,2008,11/4/2008,Board of Supervisors District 7,TRUE,FALSE,,"""06""","""075""",,,"partial(sf, '0000008')",,rcv_single_winner,1,Ballot_Images/San Francisco/San Fran_Nov 2008_All District races/CityWide_BallotImage.txt
San Francisco Board of Supervisors District 9 2008,San Francisco,CA,2008,11/4/2008,Board of Supervisors District 9,TRUE,FALSE,,"""06""","""075""",,,"partial(sf, '0000009')",,rcv_single_winner,1,Ballot_Images/San Francisco/San Fran_Nov 2008_All District races/CityWide_BallotImage.txt
San Francisco Board of Supervisors District 10 2010,San Francisco,CA,2010,11/2/2010,Board of Supervisors District 10,TRUE,FALSE,,"""06""","""075""",,,sfnoid,,rcv_single_winner,1,Ballot_Images/San Francisco/San Fran_Nov 2010_District 10 Supervisors/BallotImage-D10.txt
