Ballots with first choice:,Number of Ballots (excluding undervotes and ballots with first round overvote),Mean Valid Rankings Used (excluding duplicates),Median Valid Rankings Used (excluding duplicates)
Any candidate,2520,2.5670634920634923,3.0
"Davis, Laurie J.",368,2.6222826086956523,3.0
"Grant, Benjamin K.",912,2.539473684210526,3.0
"Zager, Samuel Lewis",1240,2.5709677419354837,3.0
