Ballots with first choice:,Number of Ballots (excluding undervotes and ballots with first round overvote),Mean Valid Rankings Used (excluding duplicates),Median Valid Rankings Used (excluding duplicates)
Any candidate,42430,2.1960405373556444,3.0
"Bennett, Adrienne",13487,2.3032549862830876,3
"Brakey, Eric L.",9563,2.2236745791069747,3
"Crafts, Dale John",19380,2.1077915376676986,2.0
