raceID,candidate,round_elected,round_eliminated,round_1_vote,round_2_vote,round_3_vote,round_4_vote,round_5_vote,round_6_vote,round_7_vote,round_8_vote,round_9_vote,round_10_vote
Hawaii_05232020_PresidentoftheUnitedStateCD1_tab1,Bernie Sanders,10.0,,4054.0,4055.0,4057.0,4061.0,4066.0,4086.0,4141.0,4174.0,4322.0,4716.0
Hawaii_05232020_PresidentoftheUnitedStateCD1_tab1,Joseph R. Biden,10.0,,8585.0,8586.0,8588.0,8601.0,8612.0,8686.0,8729.0,8885.0,8991.0,9315.0
Hawaii_05232020_PresidentoftheUnitedStateCD1_tab1,Elizabeth Warren,,9.0,738.0,738.0,740.0,746.0,747.0,769.0,813.0,832.0,853.0,0.0
Hawaii_05232020_PresidentoftheUnitedStateCD1_tab1,Tulsi Gabbard,,8.0,446.0,446.0,446.0,447.0,449.0,456.0,475.0,485.0,0.0,0.0
Hawaii_05232020_PresidentoftheUnitedStateCD1_tab1,Michael R.,,7.0,262.0,262.0,266.0,267.0,270.0,278.0,286.0,0.0,0.0,0.0
Hawaii_05232020_PresidentoftheUnitedStateCD1_tab1,Andrew Yang,,6.0,186.0,187.0,191.0,192.0,193.0,206.0,0.0,0.0,0.0,0.0
Hawaii_05232020_PresidentoftheUnitedStateCD1_tab1,Pete Buttigieg,,5.0,153.0,153.0,153.0,159.0,159.0,0.0,0.0,0.0,0.0,0.0
Hawaii_05232020_PresidentoftheUnitedStateCD1_tab1,Uncommitted,,4.0,106.0,106.0,106.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0
Hawaii_05232020_PresidentoftheUnitedStateCD1_tab1,Amy Klobuchar,,3.0,34.0,34.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hawaii_05232020_PresidentoftheUnitedStateCD1_tab1,Tom Steyer,,2.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
