Ballots with first choice:,Number of Ballots,Mean Rankings Used,Median Rankings Used
Any candidate (non-undervotes),13615,5.525523319867792,5
"Davis, Henrietta",1591,5.950974230043998,5
"Decker, Marjorie C.",1068,5.797752808988764,5.0
"Galluccio, Anthony D.",521,5.727447216890595,4
"Janik, Jonathan S.",260,6.0576923076923075,5.0
"Kelley, Craig A.",1118,5.585867620751341,5.0
"Maher, David P.",1310,4.76030534351145,4.0
"Moore, M. Kevin",250,6.044,5.0
"Moree, Gregg J.",111,6.081081081081081,5
"Murphy, Brian",1159,5.369283865401208,5
"Podgers, Kathy",92,6.684782608695652,6.0
"Reeves, Kenneth E.",1216,5.766447368421052,5.0
"Seidel, Sam",1037,6.085824493731919,6
"Simmons, E. Denise",994,5.857142857142857,5.0
"Sullivan, Edward J.",829,4.693606755126659,4
"Toomey, Timothy J., Jr.",1336,4.7717065868263475,4.0
"Ward, Larry W.",698,5.673352435530086,5.0
writeIns,25,5.4,4
