Ballots with first choice:,Number of Ballots,Mean Rankings Used,Median Rankings Used
Any candidate (non-undervotes),17833,6.090001682274435,5
"Benzan, Dennis A.",1158,5.728842832469775,4.0
"Carlone, Dennis J.",998,6.448897795591182,6.0
"Cheung, Leland",1187,6.924178601516428,6
"Connolly, Mike",841,6.83115338882283,6
"Courtney, Kim",72,7.125,5.0
"Davidson, Mariko",853,6.58968347010551,6
"Degoes, Jr., Plinio T.",51,7.882352941176471,7
"Devereux, Jan",1306,6.111791730474732,5.0
"Dietrich, Xavier",26,8.307692307692308,7.5
"Kelley, Craig A.",1433,5.771807397069086,5
"Levy, Ilan S.",153,7.254901960784314,7
"Maher, David P.",1637,5.654856444715944,5
"Mahoney, Jr., Paul F.",251,5.075697211155378,4
"Mazen, Nadeem A.",1929,5.8672887506480045,5
"McGovern, Marc C.",1202,6.268718801996672,6.0
"Mello, Gary W.",117,6.64957264957265,6
"Moree, Gregg J.",77,6.207792207792208,4
"Sanzone, John",32,9.15625,7.0
"Simmons, E. Denise",1710,6.440350877192983,5.0
"Toomey, Jr., Timothy J.",1415,4.626148409893993,3
"Waite, Romaine",273,6.615384615384615,6
"Williamson, James M.",72,7.625,6.0
"vanBeuzekom, Minka Y.",1014,6.389546351084813,6.0
writeIns,26,4.923076923076923,2.5
