Ballots with first choice:,Number of Ballots,Mean Rankings Used,Median Rankings Used
Any candidate (non-undervotes),15828,5.550669699267122,5.0
"Cheung, Leland",2016,6.065476190476191,5.0
"Davis, Henrietta",1435,5.955400696864111,5
"Decker, Marjorie C.",1122,5.910873440285205,5.0
"Kelley, Craig A.",1097,5.483135824977211,5
"Maher, David P.",1685,4.905044510385757,4
"Marquardt, Charles J.",499,5.480961923847695,4
"Mello, Gary W.",135,5.866666666666666,4
"Moree, Gregg J.",56,5.892857142857143,4.0
"Nelson, Matthew P.",542,6.016605166051661,5.0
"Pascual, Jamake",63,5.904761904761905,5
"Reeves, Kenneth E.",1011,5.317507418397626,4
"Seidel, Sam",788,5.804568527918781,5.0
"Simmons, E. Denise",1262,5.708399366085579,4.0
"Stohlman, Jr., Thomas J.",344,5.9854651162790695,5.0
"Toomey, Jr., Timothy J.",1701,4.3162845385067605,3
"Ward, Larry W.",835,5.434730538922156,4
"Williamson, James M.",175,6.708571428571428,6
"vanBeuzekom, Minka Y.",1038,6.090558766859345,5.0
writeIns,24,3.7916666666666665,1.0
