Ballots with first choice:,Number of Ballots,Mean Rankings Used,Median Rankings Used
Any candidate (non-undervotes),18563,3.569735495340193,3
"Craig, Christopher",556,3.991007194244604,3.0
"Fantini, Alfred B.",2884,3.3158807212205272,3.0
"Grassi, Joseph G.",2276,3.2864674868189807,3.0
"Harding, Richard, Jr.",2344,3.556740614334471,3.0
"Lummis, Ben",2588,3.6568778979907264,3.0
"McGovern, Marc C.",2702,3.6624722427831236,3.0
"Price, Alan C.",1293,4.102088167053364,4
"Walser, Nancy",3823,3.5984828668584883,3
writeIns,97,2.5257731958762886,1
