Ballots with first choice:,Number of Ballots,Mean Rankings Used,Median Rankings Used
Any candidate (non-undervotes),16046,5.594478374672816,5.0
"Adkins, Lawrence J.",242,6.177685950413223,5.0
"Condit, James E., III",41,6.2926829268292686,5
"Davis, Henrietta",1457,5.918325326012354,5
"Decker, Marjorie C.",1524,5.8569553805774275,5.0
"Galluccio, Anthony D.",1997,5.215322984476715,4
"Gordon, Jesse A.",625,6.368,6
"Green, Andre Lerone",181,5.469613259668508,4
"Hall, Robert Lee, Sr.",74,5.77027027027027,4.0
"Hees, Bill",197,6.192893401015229,5
"Kelley, Craig A.",1041,5.702209414024976,5
"LaTremouille, Robert J.",118,6.1440677966101696,5.0
"Maher, David P.",900,4.996666666666667,4.0
"Murphy, Brian",1236,5.702265372168285,5.0
"Reeves, Kenneth E.",1205,5.612448132780083,4
"Seidel, Sam",973,6.6896197327852,6
"Simmons, Denise",1327,5.7362471740768655,5
"Sullivan, Michael A.",1462,5.466484268125855,4.0
"Toomey, Timothy J., Jr.",1431,4.399720475192173,3
writeIns,15,3.8,3
