Ballots with first choice:,Number of Ballots,Mean Rankings Used,Median Rankings Used
Any candidate (non-undervotes),19896,5.781513872135102,5.0
"Bellew, Carole K.",729,6.216735253772291,5
"Davis, Henrietta",1831,6.267613326051338,6
"DeBergalis, Matt S.",1203,5.430590191188695,4
"Decker, Marjorie C.",1367,6.076810534016094,5
"Dixon, Vincent Lawrence",64,8.34375,6.0
"Galluccio, Anthony D.",2977,5.442055760833053,4
"Greenwood, Dan J.",39,6.128205128205129,5
"Hall, Robert L., Sr.",93,6.720430107526882,5
"Kelley, Craig A.",983,5.624618514750763,5
"King, Ethridge A., Jr.",353,5.9405099150141645,5
"LaTremouille, Robert J.",122,5.909836065573771,5.0
"Maher, David P.",1177,5.441801189464741,5
"Murphy, Brian",1356,6.133480825958702,6.0
"Pitkin, John",1005,6.2,5
"Reeves, Kenneth E.",1509,5.938369781312128,5
"Simmons, Denise",1165,6.173390557939914,5
"Smith, Aimee Louise",477,6.364779874213837,5
"Sullivan, Michael A.",1634,5.471848225214198,4.0
"Taymorberry, Laurie",176,6.113636363636363,5.0
"Toomey, Timothy J., Jr.",1599,4.940587867417135,4
writeIns,37,4.756756756756757,4
