Ballots with first choice:,Number of Ballots,Mean Rankings Used,Median Rankings Used
Any candidate (non-undervotes),20699,4.375332141649355,4
"Bowman, Manikka L.",2768,4.720736994219653,4.0
"Cronin, Fran A.",1571,4.32399745385105,4
"Crutchfield, Jake W.",1038,4.466281310211946,4.0
"Dexter, Emily R.",2376,4.942760942760943,5.0
"Fantini, Alfred B.",2728,3.3313782991202348,3.0
"Kadete, Elechi M.",845,4.194082840236686,3
"Kelly, Kathleen M.",1880,4.347340425531915,4.0
"Kimbrough, Laurance V.",1855,4.588679245283019,4
"MacArthur, William",795,4.506918238993711,4
"Mitros, Piotr Flawiusz",511,5.236790606653621,5
"Nolan, Patricia M.",3457,4.370841770321087,4
"Weinstein, David J.",797,4.301129234629862,4
writeIns,78,2.7051282051282053,1.0
