Ballots with first choice:,Number of Ballots,Mean Rankings Used,Median Rankings Used
Any candidate (non-undervotes),16791,4.040855220058365,3
"Bowman, Manikka L.",1488,4.313844086021505,4.0
"Cisternino, Pia",656,4.8125,4.0
"Cronin, Fran Albin",1417,4.194777699364855,4
"Crutchfield, Jake W.",1221,3.704340704340704,3
"Dexter, Emily R.",1402,4.4165477888730384,4.0
"Fantini, Alfred B.",2721,3.3575891216464533,3
"Harding, Jr., Richard",1988,3.8274647887323945,3.0
"Kadete, Elechi M.",426,4.603286384976526,4.0
"Kelly, Kathleen M.",1710,4.135672514619883,4.0
"Nolan, Patricia M.",3005,4.217304492512479,4
"Weinstein, David J.",695,4.266187050359712,4
writeIns,62,3.2096774193548385,1.0
