Ballots with first choice:,Number of Ballots,Mean Rankings Used,Median Rankings Used
Any candidate (non-undervotes),17730,6.016638465877045,5.0
"Benzan, Dennis A.",1300,5.9715384615384615,5.0
"Carlone, Dennis J.",1151,6.809730668983493,6
"Cheung, Leland",2391,6.537013801756587,6
"House, Janneke Ann",409,7.048899755501222,6
"Kelley, Craig A.",1093,5.937785910338518,5
"Lee, James",91,6.956043956043956,6
"Leslie, Logan Edward",504,4.408730158730159,3.0
"Maher, David P.",1463,4.848257006151743,4
"Mazen, Nadeem A.",985,6.236548223350254,5
"McGovern, Marc C.",1187,6.12636899747262,5
"Mello, Gary W.",107,7.757009345794392,7
"Mirza, Mushtaque A.",283,4.427561837455831,3
"Moree, Gregg J.",37,5.243243243243243,3
"Peden, Ronald",49,7.653061224489796,6
"Phillips, Lesley Rebecca",82,7.682926829268292,6.0
"Reeves, Kenneth E.",933,5.70096463022508,4
"Seidel, Sam",701,6.362339514978602,6
"Simmons, E. Denise",1183,6.228233305156382,5
"Smith, Jefferson R.",579,6.576856649395509,5
"Toomey, Jr., Timothy J.",1456,4.501373626373627,3.0
"Vasquez, Luis",263,7.152091254752852,5
"Von Hoffmann, Kristen Lane",420,6.661904761904762,6.0
"Williamson, James M.",74,7.837837837837838,6.0
"Yarden, Elie",102,7.794117647058823,7.0
"vanBeuzekom, Minka Y.",872,6.638761467889908,6.0
writeIns,15,4.933333333333334,3
