Ballots with first choice:,Number of Ballots,Mean Rankings Used,Median Rankings Used
Any candidate (non-undervotes),15937,5.4578025977285565,4
"Adkins, Lawrence J.",103,6.514563106796117,5
"Cheung, Leland",755,6.0437086092715235,5
"Davis, Henrietta",1857,5.613893376413571,5
"Decker, Marjorie C.",1285,5.7330739299610896,5
"Flanagan, Mark F.",111,6.495495495495495,4
"Glick, Silvia P.",256,6.75390625,6.0
"Kelley, Craig A.",1249,5.649319455564451,5
"Leavitt, Neal W.",136,5.632352941176471,5.0
"Maher, David P.",1285,4.7540856031128405,4
"Marquardt, Charles J.",385,5.187012987012987,4
"Moree, Gregg J.",47,6.425531914893617,4
"Podgers, Kathy",78,7.884615384615385,5.5
"Reeves, Kenneth E.",1165,5.159656652360515,4
"Seidel, Sam",899,5.860956618464961,5
"Simmons, E. Denise",1781,5.746209994385177,5
"Stohlman, Jr., Thomas J.",377,5.8541114058355435,5
"Sullivan, Edward J.",883,4.5062287655719135,3
"Toomey, Jr., Timothy J.",1746,4.450744558991982,3.0
"Ward, Larry W.",735,5.8421768707482995,5
"Williamson, James M.",89,6.853932584269663,6
"vanBeuzekom, Minka Y.",682,6.041055718475073,5.0
writeIns,33,5.0,3
