Ballots with first choice:,Number of Ballots,Mean Rankings Used,Median Rankings Used
Any candidate (non-undervotes),16956,5.615180467091295,5.0
"Condit, James E., III",62,6.951612903225806,6.0
"Davis, Henrietta",1697,6.100766057748968,6
"Decker, Marjorie C.",1525,6.094426229508197,6
"Dixon, Vincent Lawrence",87,6.402298850574713,5
"Galluccio, Anthony D.",3212,5.2792652552926524,4.0
"Hall, Robert L.",149,7.436241610738255,8
"Horowitz, Jacob",150,5.906666666666666,6.0
"Iskovitz, Steve",340,6.338235294117647,6.0
"Jens, Steven E.",275,5.28,4
"King, Ethridge A.",370,5.940540540540541,5.0
"Maher, David P.",1008,5.0,4.0
"Murphy, Brian",1707,5.852958406561219,6
"Peixoto, Helder",61,5.278688524590164,4
"Pitkin, John",1084,6.046125461254612,6.0
"Reeves, Kenneth E.",1133,5.72639011473963,5
"Simmons, Denise",1327,6.0097965335342876,6
"Sullivan, Michael A.",1297,4.915959907478797,4
"Toomey, Timothy J., Jr.",1387,4.681326604181687,4
"Williamson, James M.",55,7.6909090909090905,6
writeIns,30,5.266666666666667,3.5
