Ballots with first choice:,Number of Ballots,Mean Rankings Used,Median Rankings Used
Any candidate (non-undervotes),8976,3.1959670231729054,3.0
Andy Montroll,2063,3.4125060591371787,3
Bob Kiss,2585,3.2870406189555124,3
Dan Smith,1306,3.459418070444104,3.0
James Simpson,35,3.6285714285714286,4
Kurt Wright,2951,2.8475093188749576,2
writeIns,36,2.8333333333333335,2.0
