Ballots with first choice:,Number of Ballots,Mean Rankings Used,Median Rankings Used
Any candidate (non-undervotes),16589,3.7264452347941406,3
"Cronin, Fran Albin",1832,3.856986899563319,3.0
"Fantini, Alfred B.",2858,3.191742477256823,3.0
"Gerber, Joyce C.",1125,4.088,4
"Harding, Jr., Richard",2359,3.5353963543874523,3
"Holland, John J.",589,3.499151103565365,3
"Kadete, Elechi M.",493,4.127789046653144,4
"Kelly, Kathleen M.",2102,3.9828734538534727,4.0
"Nolan, Patricia M.",3921,3.8469778117827085,3
"Osborne, Mervan F.",1238,4.01373182552504,4.0
writeIns,72,2.361111111111111,1.0
