Ballots with first choice:,Number of Ballots,Mean Rankings Used,Median Rankings Used
Any candidate (non-undervotes),13259,3.813258918470473,3
"Fantini, Alfred B.",2013,3.4456035767511177,3
"Grassi, Joseph G.",1625,3.4646153846153847,3
"Harding, Richard, Jr.",1561,3.7508007687379883,3
"Lemily Wiggins, Gail",1024,4.021484375,4.0
"Malner, Stefan",133,4.413533834586466,4
"McGovern, Marc C.",2275,3.9345054945054945,3
"Nolan, Patricia M.",1672,4.0849282296650715,4.0
"Schuster, Luc",1675,3.9892537313432834,4
"Tauber, Nancy",1245,3.906024096385542,3
writeIns,36,3.0,2.0
