Ballots with first choice:,Number of Ballots,Mean Rankings Used,Median Rankings Used
Any candidate (non-undervotes),15453,3.7067236135378243,3
"Fantini, Alfred B.",2278,3.2906057945566287,3.0
"Grassi, Joseph G.",1990,3.2527638190954775,3.0
"Harding, Richard, Jr.",1979,3.4876200101061143,3
"Lummis, Ben",1512,3.9146825396825395,3.0
"McGovern, Marc C.",1411,3.968816442239546,4
"Nolan, Patricia M.",2385,4.083438155136268,4
"Schuster, Luc",1842,3.94299674267101,4.0
"Walser, Nancy",2001,3.8830584707646176,3
writeIns,55,2.1454545454545455,1
