ballotID,Precinct,Ballot Style,rank1,rank2,rank3
600001,205111,UOCAVA,"Crafts, Lydia V.","Pieh, Wendy","Levesque, David J."
600002,205111,UOCAVA,"Crafts, Lydia V.","Levesque, David J.",skipped
600003,211111,UOCAVA,"Pieh, Wendy","Crafts, Lydia V.","Levesque, David J."
600004,204111,UOCAVA,"Pieh, Wendy","Crafts, Lydia V.","Levesque, David J."
600005,204111,UOCAVA,"Pieh, Wendy","Crafts, Lydia V.",skipped
600006,204111,UOCAVA,"Pieh, Wendy","Crafts, Lydia V.","Levesque, David J."
600007,205111,UOCAVA,"Crafts, Lydia V.","Pieh, Wendy","Levesque, David J."
600008,205111,UOCAVA,"Crafts, Lydia V.",skipped,skipped
600009,211111,UOCAVA,"Pieh, Wendy","Crafts, Lydia V.",skipped
600010,211111,UOCAVA,skipped,skipped,skipped
600050,Nobleboro,Unscanned,"Pieh, Wendy","Crafts, Lydia V.","Levesque, David J."
600051,Monhegan,Unscanned,"Pieh, Wendy","Levesque, David J.","Crafts, Lydia V."
600052,Bristol,Unscanned,"Crafts, Lydia V.","Pieh, Wendy","Levesque, David J."
600053,Bristol,Unscanned,"Crafts, Lydia V.","Pieh, Wendy","Levesque, David J."
600054,Newcastle,Unscanned,"Crafts, Lydia V.","Levesque, David J.","Pieh, Wendy"
600055,Newcastle,Unscanned,"Crafts, Lydia V.","Pieh, Wendy","Levesque, David J."
600056,Newcastle,Unscanned,"Crafts, Lydia V.","Pieh, Wendy","Levesque, David J."
600057,Newcastle,Unscanned,"Crafts, Lydia V.","Levesque, David J.","Pieh, Wendy"
600058,Newcastle,Unscanned,"Crafts, Lydia V.","Levesque, David J.","Pieh, Wendy"
600059,Newcastle,Unscanned,"Pieh, Wendy",skipped,skipped
600060,Bremen,Unscanned,"Pieh, Wendy","Levesque, David J.","Crafts, Lydia V."
600061,Bremen,Unscanned,"Pieh, Wendy","Crafts, Lydia V.","Levesque, David J."
600062,Bremen,Unscanned,"Pieh, Wendy",skipped,skipped
600063,Bremen,Unscanned,"Pieh, Wendy","Crafts, Lydia V.","Levesque, David J."
