ballotID,Precinct,Ballot Style,rank1,rank2,rank3
5,West Gardiner,REP Ballot Style 249,skipped,skipped,skipped
6,West Gardiner,REP Ballot Style 249,"Crafts, Dale John","Brakey, Eric L.","Bennett, Adrienne"
7,West Gardiner,REP Ballot Style 249,skipped,skipped,skipped
11,West Gardiner,REP Ballot Style 249,"Bennett, Adrienne","Brakey, Eric L.","Crafts, Dale John"
13,West Gardiner,REP Ballot Style 249,"Bennett, Adrienne",skipped,skipped
24,West Gardiner,REP Ballot Style 249,"Crafts, Dale John","Bennett, Adrienne","Brakey, Eric L."
28,West Gardiner,REP Ballot Style 249,"Crafts, Dale John","Brakey, Eric L.","Bennett, Adrienne"
31,West Gardiner,REP Ballot Style 249,"Crafts, Dale John","Bennett, Adrienne","Brakey, Eric L."
32,West Gardiner,REP Ballot Style 249,"Crafts, Dale John","Brakey, Eric L.","Bennett, Adrienne"
35,West Gardiner,REP Ballot Style 249,"Bennett, Adrienne","Brakey, Eric L.","Crafts, Dale John"
36,West Gardiner,REP Ballot Style 249,skipped,skipped,skipped
37,West Gardiner,REP Ballot Style 249,"Brakey, Eric L.","Bennett, Adrienne","Crafts, Dale John"
45,West Gardiner,REP Ballot Style 249,"Brakey, Eric L.","Crafts, Dale John","Bennett, Adrienne"
52,West Gardiner,REP Ballot Style 249,skipped,skipped,skipped
54,West Gardiner,REP Ballot Style 249,skipped,skipped,skipped
58,West Gardiner,REP Ballot Style 249,skipped,skipped,skipped
63,West Gardiner,REP Ballot Style 249,"Crafts, Dale John",skipped,skipped
73,West Gardiner,REP Ballot Style 249,"Crafts, Dale John","Crafts, Dale John","Crafts, Dale John"
75,West Gardiner,REP Ballot Style 249,"Crafts, Dale John","Bennett, Adrienne","Brakey, Eric L."
85,West Gardiner,REP Ballot Style 249,"Brakey, Eric L.","Bennett, Adrienne","Crafts, Dale John"
94,West Gardiner,REP Ballot Style 249,"Brakey, Eric L.","Bennett, Adrienne","Crafts, Dale John"
99,West Gardiner,REP Ballot Style 249,"Crafts, Dale John","Crafts, Dale John","Bennett, Adrienne"
101,West Gardiner,REP Ballot Style 249,skipped,skipped,skipped
102,West Gardiner,REP Ballot Style 249,"Crafts, Dale John","Brakey, Eric L.","Bennett, Adrienne"
106,West Gardiner,REP Ballot Style 249,"Crafts, Dale John",skipped,skipped
108,West Gardiner,REP Ballot Style 249,skipped,skipped,skipped
112,West Gardiner,REP Ballot Style 249,skipped,skipped,skipped
115,West Gardiner,REP Ballot Style 249,"Brakey, Eric L.","Bennett, Adrienne","Crafts, Dale John"
124,West Gardiner,REP Ballot Style 249,"Brakey, Eric L.","Bennett, Adrienne","Crafts, Dale John"
125,West Gardiner,REP Ballot Style 249,"Bennett, Adrienne","Crafts, Dale John","Brakey, Eric L."
127,West Gardiner,REP Ballot Style 249,skipped,skipped,skipped
131,West Gardiner,REP Ballot Style 249,"Bennett, Adrienne","Brakey, Eric L.","Crafts, Dale John"
136,West Gardiner,REP Ballot Style 249,"Crafts, Dale John","Brakey, Eric L.","Bennett, Adrienne"
137,West Gardiner,REP Ballot Style 249,"Bennett, Adrienne",skipped,skipped
143,West Gardiner,REP Ballot Style 249,"Crafts, Dale John","Brakey, Eric L.","Bennett, Adrienne"
147,West Gardiner,REP Ballot Style 249,"Crafts, Dale John","Bennett, Adrienne","Brakey, Eric L."
148,West Gardiner,REP Ballot Style 249,"Crafts, Dale John","Brakey, Eric L.","Bennett, Adrienne"
150,West Gardiner,REP Ballot Style 249,"Brakey, Eric L.","Brakey, Eric L.","Brakey, Eric L."
152,West Gardiner,REP Ballot Style 249,"Brakey, Eric L.","Crafts, Dale John","Bennett, Adrienne"
163,West Gardiner,REP Ballot Style 249,"Crafts, Dale John","Brakey, Eric L.","Bennett, Adrienne"
166,West Gardiner,REP Ballot Style 249,"Crafts, Dale John","Brakey, Eric L.","Bennett, Adrienne"
169,West Gardiner,REP Ballot Style 249,"Brakey, Eric L.","Bennett, Adrienne","Crafts, Dale John"
172,West Gardiner,REP Ballot Style 249,"Bennett, Adrienne","Crafts, Dale John","Brakey, Eric L."
177,West Gardiner,REP Ballot Style 249,"Bennett, Adrienne","Brakey, Eric L.","Crafts, Dale John"
181,West Gardiner,REP Ballot Style 249,"Crafts, Dale John",skipped,skipped
187,West Gardiner,REP Ballot Style 249,"Bennett, Adrienne","Brakey, Eric L.","Crafts, Dale John"
188,West Gardiner,REP Ballot Style 249,"Bennett, Adrienne",skipped,skipped
196,West Gardiner,REP Ballot Style 249,"Brakey, Eric L.","Bennett, Adrienne","Crafts, Dale John"
199,West Gardiner,REP Ballot Style 249,skipped,skipped,skipped
204,West Gardiner,REP Ballot Style 249,"Brakey, Eric L.","Bennett, Adrienne","Crafts, Dale John"
210,West Gardiner,REP Ballot Style 249,skipped,skipped,skipped
212,West Gardiner,REP Ballot Style 249,"Brakey, Eric L.","Bennett, Adrienne","Crafts, Dale John"
213,West Gardiner,REP Ballot Style 249,"Crafts, Dale John","Brakey, Eric L.","Bennett, Adrienne"
215,West Gardiner,REP Ballot Style 249,"Bennett, Adrienne","Brakey, Eric L.","Crafts, Dale John"
222,West Gardiner,REP Ballot Style 249,"Bennett, Adrienne",skipped,skipped
228,West Gardiner,REP Ballot Style 249,"Crafts, Dale John","Brakey, Eric L.","Bennett, Adrienne"
229,West Gardiner,REP Ballot Style 249,"Crafts, Dale John","Brakey, Eric L.","Bennett, Adrienne"
230,West Gardiner,REP Ballot Style 249,"Brakey, Eric L.","Bennett, Adrienne","Crafts, Dale John"
233,West Gardiner,REP Ballot Style 249,skipped,skipped,skipped
235,West Gardiner,REP Ballot Style 249,"Crafts, Dale John","Bennett, Adrienne","Brakey, Eric L."
242,West Gardiner,REP Ballot Style 249,"Crafts, Dale John",skipped,skipped
243,West Gardiner,REP Ballot Style 249,"Bennett, Adrienne","Brakey, Eric L.","Crafts, Dale John"
246,West Gardiner,REP Ballot Style 249,"Bennett, Adrienne","Brakey, Eric L.","Crafts, Dale John"
248,West Gardiner,REP Ballot Style 249,skipped,skipped,skipped
249,West Gardiner,REP Ballot Style 249,"Brakey, Eric L.","Bennett, Adrienne","Crafts, Dale John"
251,West Gardiner,REP Ballot Style 249,"Crafts, Dale John","Brakey, Eric L.","Bennett, Adrienne"
255,West Gardiner,REP Ballot Style 249,"Crafts, Dale John","Crafts, Dale John","Crafts, Dale John"
258,West Gardiner,REP Ballot Style 249,"Brakey, Eric L.","Crafts, Dale John",skipped
259,West Gardiner,REP Ballot Style 249,skipped,skipped,skipped
263,West Gardiner,REP Ballot Style 249,skipped,skipped,skipped
265,West Gardiner,REP Ballot Style 249,"Brakey, Eric L.","Crafts, Dale John",skipped
279,West Gardiner,REP Ballot Style 249,"Bennett, Adrienne","Crafts, Dale John","Brakey, Eric L."
280,West Gardiner,REP Ballot Style 249,"Brakey, Eric L.",skipped,skipped
281,West Gardiner,REP Ballot Style 249,"Bennett, Adrienne","Crafts, Dale John",skipped
283,West Gardiner,REP Ballot Style 249,"Crafts, Dale John",skipped,skipped
286,West Gardiner,REP Ballot Style 249,"Crafts, Dale John",skipped,skipped
287,West Gardiner,REP Ballot Style 249,"Bennett, Adrienne","Brakey, Eric L.","Crafts, Dale John"
288,West Gardiner,REP Ballot Style 249,"Crafts, Dale John","Brakey, Eric L.","Bennett, Adrienne"
289,West Gardiner,REP Ballot Style 249,"Crafts, Dale John","Brakey, Eric L.","Bennett, Adrienne"
290,West Gardiner,REP Ballot Style 249,"Brakey, Eric L.",skipped,skipped
295,West Gardiner,REP Ballot Style 249,"Brakey, Eric L.","Bennett, Adrienne","Crafts, Dale John"
302,West Gardiner,REP Ballot Style 249,skipped,skipped,skipped
312,West Gardiner,REP Ballot Style 249,"Bennett, Adrienne","Brakey, Eric L.","Crafts, Dale John"
315,West Gardiner,REP Ballot Style 249,"Crafts, Dale John","Brakey, Eric L.","Bennett, Adrienne"
318,West Gardiner,REP Ballot Style 249,"Brakey, Eric L.","Bennett, Adrienne","Crafts, Dale John"
322,West Gardiner,REP Ballot Style 249,"Crafts, Dale John","Crafts, Dale John","Crafts, Dale John"
323,West Gardiner,REP Ballot Style 249,"Crafts, Dale John",skipped,skipped
327,West Gardiner,REP Ballot Style 249,skipped,skipped,skipped
334,West Gardiner,REP Ballot Style 249,skipped,skipped,skipped
335,West Gardiner,REP Ballot Style 249,skipped,skipped,skipped
338,West Gardiner,REP Ballot Style 249,"Crafts, Dale John",skipped,skipped
342,West Gardiner,REP Ballot Style 249,skipped,skipped,skipped
343,West Gardiner,REP Ballot Style 249,"Bennett, Adrienne","Crafts, Dale John",skipped
350,West Gardiner,REP Ballot Style 249,"Crafts, Dale John","Brakey, Eric L.","Crafts, Dale John"
353,West Gardiner,REP Ballot Style 249,"Bennett, Adrienne","Brakey, Eric L.","Crafts, Dale John"
355,West Gardiner,REP Ballot Style 249,"Crafts, Dale John",skipped,skipped
356,West Gardiner,REP Ballot Style 249,"Crafts, Dale John","Brakey, Eric L.","Bennett, Adrienne"
359,West Gardiner,REP Ballot Style 249,skipped,skipped,skipped
366,West Gardiner,REP Ballot Style 249,skipped,skipped,skipped
369,West Gardiner,REP Ballot Style 249,"Crafts, Dale John","Bennett, Adrienne","Brakey, Eric L."
371,West Gardiner,REP Ballot Style 249,"Bennett, Adrienne",skipped,skipped
374,West Gardiner,REP Ballot Style 249,"Bennett, Adrienne","Brakey, Eric L.","Crafts, Dale John"
376,West Gardiner,REP Ballot Style 249,"Bennett, Adrienne","Crafts, Dale John","Brakey, Eric L."
380,West Gardiner,REP Ballot Style 249,"Crafts, Dale John","Bennett, Adrienne","Brakey, Eric L."
383,West Gardiner,REP Ballot Style 249,"Crafts, Dale John","Bennett, Adrienne","Brakey, Eric L."
384,West Gardiner,REP Ballot Style 249,"Crafts, Dale John","Bennett, Adrienne","Brakey, Eric L."
386,West Gardiner,REP Ballot Style 249,skipped,skipped,skipped
387,West Gardiner,REP Ballot Style 249,"Crafts, Dale John",skipped,skipped
388,West Gardiner,REP Ballot Style 249,"Brakey, Eric L.","Brakey, Eric L.","Brakey, Eric L."
389,West Gardiner,REP Ballot Style 249,"Brakey, Eric L.","Brakey, Eric L.","Brakey, Eric L."
391,West Gardiner,REP Ballot Style 249,"Bennett, Adrienne",skipped,overvote
395,West Gardiner,REP Ballot Style 249,"Brakey, Eric L.","Crafts, Dale John","Bennett, Adrienne"
396,West Gardiner,REP Ballot Style 249,"Bennett, Adrienne","Brakey, Eric L.","Crafts, Dale John"
398,West Gardiner,REP Ballot Style 249,"Crafts, Dale John","Crafts, Dale John","Crafts, Dale John"
401,West Gardiner,REP Ballot Style 249,skipped,skipped,skipped
420,West Gardiner,REP Ballot Style 249,"Bennett, Adrienne","Crafts, Dale John","Brakey, Eric L."
423,West Gardiner,REP Ballot Style 249,"Brakey, Eric L.","Crafts, Dale John","Bennett, Adrienne"
425,West Gardiner,REP Ballot Style 249,"Bennett, Adrienne","Crafts, Dale John","Brakey, Eric L."
427,West Gardiner,REP Ballot Style 249,"Bennett, Adrienne","Crafts, Dale John","Brakey, Eric L."
428,West Gardiner,REP Ballot Style 249,"Brakey, Eric L.","Brakey, Eric L.","Brakey, Eric L."
429,West Gardiner,REP Ballot Style 249,"Brakey, Eric L.","Crafts, Dale John","Bennett, Adrienne"
430,West Gardiner,REP Ballot Style 249,"Crafts, Dale John",skipped,skipped
442,West Gardiner,REP Ballot Style 249,"Bennett, Adrienne","Crafts, Dale John","Brakey, Eric L."
444,West Gardiner,REP Ballot Style 249,"Crafts, Dale John","Bennett, Adrienne","Brakey, Eric L."
449,West Gardiner,REP Ballot Style 249,skipped,skipped,skipped
450,West Gardiner,REP Ballot Style 249,"Crafts, Dale John","Bennett, Adrienne","Brakey, Eric L."
453,West Gardiner,REP Ballot Style 249,"Crafts, Dale John",skipped,skipped
454,West Gardiner,REP Ballot Style 249,skipped,skipped,skipped
