,Rank 1,Rank 2,Rank 3,Did Not Rank
Elizabeth Warren,288.00,535.09,648.23,647.30
Kamala Harris,342.91,586.05,687.27,608.25
Karen Bass,35.34,78.91,139.89,1155.64
Stacey Abrams,95.82,210.17,382.15,913.37
Susan Rice,179.34,327.40,457.14,838.38
Tammy Duckworth,93.26,185.00,276.51,1019.02
Val Demings,42.11,91.88,166.83,1128.69
