,Rank 1,Rank 2,Rank 3,Did Not Rank
Elizabeth Warren,22.23,41.30,50.04,49.96
Kamala Harris,26.47,45.24,53.05,46.95
Karen Bass,2.73,6.09,10.80,89.20
Stacey Abrams,7.40,16.22,29.50,70.50
Susan Rice,13.84,25.27,35.29,64.71
Tammy Duckworth,7.20,14.28,21.34,78.66
Val Demings,3.25,7.09,12.88,87.12
