contest,master_lookup,chp,candidate_map,write_ins,parser,date,idparser,number,path,break_on_overvote,place,office,break_on_repeated_undervotes
Santa Fe Mayor 2018,,,,,"partial(santafe, 0, 1)",2018,"partial(santafe_id, 0, 1)",,Ballot_Images/Santa_Fe/csvFiles/CvrExport.csv,,Santa Fe,Mayor,
Santa Fe Councilor District 4 2018,,,,,"partial(santafe, 1, 5)",2018,"partial(santafe_id, 1, 5)",,Ballot_Images/Santa_Fe/csvFiles/CvrExport.csv,,Santa Fe,Councilor District 4,
Santa Fe Councilor District 2 2018,,,,,"partial(santafe, 1, 3)",2018,"partial(santafe_id, 1, 3)",,Ballot_Images/Santa_Fe/csvFiles/CvrExport.csv,,Santa Fe,Councilor District 2,
Maine Democratic Primary for CD2 2018,,,,1,"partial(maine, 5)",2018,,,Ballot_Images/Maine/2018/csvMaine/Maine_Democratic_Primary_for_CD2_CVR.xlsx.csv,,Maine,Democratic Primary for CD2,True
Maine Democratic Primary for Governor 2018,,,,1,"partial(maine, 8)",2018,,,Ballot_Images/Maine/2018/csvMaine/Maine Democratic Primary for Governor CVR.xlsx.csv,,Maine,Democratic Primary for Governor,True
Maine General CD2 CVR Updated 2018,,,,1,"partial(maine, 5)",2018,,,Ballot_Images/Maine/2018/csvMaine/Maine General CD2 CVR Updated.xlsx.csv,,Maine,General CD2 CVR,True
Minneapolis Mayor 2017,,,,,minneapolis,2017,,,Ballot_Images/Minneapolis/2017/csv2017/2017-mayor-cvr.xlsx.csv,False,Minneapolis,Mayor,
Minneapolis BOE 2017,,,,,minneapolis,2017,,,Ballot_Images/Minneapolis/2017/csv2017/2017-boe-cvr.xlsx.csv,False,Minneapolis,BOE,
Minneapolis Park At Large 2017,,,,,minneapolis,2017,,,Ballot_Images/Minneapolis/2017/csv2017/2017-park-at-large-cvr.xlsx.csv,False,Minneapolis,Park At Large,
Minneapolis Park District 1 2017,,,,,minneapolis,2017,,,Ballot_Images/Minneapolis/2017/csv2017/2017-park-district-1-cvr.xlsx.csv,False,Minneapolis,Park District 1,
Minneapolis Park District 2 2017,,,,,minneapolis,2017,,,Ballot_Images/Minneapolis/2017/csv2017/2017-park-district-2-cvr.xlsx.csv,False,Minneapolis,Park District 2,
Minneapolis Park District 3 2017,,,,,minneapolis,2017,,,Ballot_Images/Minneapolis/2017/csv2017/2017-park-district-3-cvr.xlsx.csv,False,Minneapolis,Park District 3,
Minneapolis Park District 4 2017,,,,,minneapolis,2017,,,Ballot_Images/Minneapolis/2017/csv2017/2017-park-district-4-cvr.xlsx.csv,False,Minneapolis,Park District 4,
Minneapolis Park District 5 2017,,,,,minneapolis,2017,,,Ballot_Images/Minneapolis/2017/csv2017/2017-park-district-5-cvr.xlsx.csv,False,Minneapolis,Park District 5,
Minneapolis Park District 6 2017,,,,,minneapolis,2017,,,Ballot_Images/Minneapolis/2017/csv2017/2017-park-district-6-cvr.xlsx.csv,False,Minneapolis,Park District 6,
Minneapolis Ward 1 2017,,,,,minneapolis,2017,,,Ballot_Images/Minneapolis/2017/csv2017/2017-ward-1-cvr.xlsx.csv,False,Minneapolis,Ward 1,
