place,state,date,office,title_case_winner,number_of_candidates,number_of_rounds,final_round_vote,final_round_percent,first_round_vote,first_round_percent,first_round_place,number_of_first_round_valid_votes,number_of_final_round_active_votes,total,final_round_winner_votes_over_first_round_valid,final_round_inactive,winners_consensus_value,condorcet,total_fully_ranked,ranked_multiple,first_round_undervote,first_round_overvote,later_round_inactive_by_overvote,later_round_inactive_by_abstention,later_round_inactive_by_ranking_limit,includes_duplicates,includes_skipped,top2_winners_vote_increased,top2_winners_fraction,top2_majority,top2_winner_over_40,effective_ballot_length_str,undervote,total_overvote,total_exhausted_by_overvote,ranked2,ranked_winner,two_repeated,three_repeated,total_skipped,irregular,total_exhausted,total_exhausted_not_by_overvote,total_involuntarily_exhausted,minneapolis_undervote,minneapolis_total,total_voluntarily_exhausted,come_from_behind,number_of_rounds,finalists,winner,exhausted_by_undervote,naive_tally,candidates,count_duplicates,any_repeat,validly_ranked_winner,margin_when_2_left,margin_when_winner_has_majority,"precinct_estimate(black,precinct_percent_cvap,precinct_participation)","precinct_estimate(black,precinct_percent_cvap,precinct_ranked_finalists)","precinct_estimate(black,precinct_percent_cvap,precinct_overvotes)","precinct_estimate(white,precinct_percent_cvap,precinct_participation)","precinct_estimate(white,precinct_percent_cvap,precinct_ranked_finalists)","precinct_estimate(white,precinct_percent_cvap,precinct_overvotes)","precinct_estimate(latin,precinct_percent_cvap,precinct_participation)","precinct_estimate(latin,precinct_percent_cvap,precinct_ranked_finalists)","precinct_estimate(latin,precinct_percent_cvap,precinct_overvotes)","precinct_estimate(latin,precinct_percent_sov,precinct_participation)","precinct_estimate(latin,precinct_percent_sov,precinct_ranked_finalists)","precinct_estimate(latin,precinct_percent_sov,precinct_overvotes)","precinct_estimate(asian,precinct_percent_cvap,precinct_participation)","precinct_estimate(asian,precinct_percent_cvap,precinct_ranked_finalists)","precinct_estimate(asian,precinct_percent_cvap,precinct_overvotes)","precinct_estimate(asian,precinct_percent_sov,precinct_participation)","precinct_estimate(asian,precinct_percent_sov,precinct_ranked_finalists)","precinct_estimate(asian,precinct_percent_sov,precinct_overvotes)","precinct_estimate(other,precinct_percent_cvap,precinct_participation)","precinct_estimate(other,precinct_percent_cvap,precinct_ranked_finalists)","precinct_estimate(other,precinct_percent_cvap,precinct_overvotes)","ethnicity_estimate(black,precinct_percent_cvap,precinct_participation)","ethnicity_estimate(black,precinct_percent_cvap,precinct_ranked_finalists)","ethnicity_estimate(black,precinct_percent_cvap,precinct_overvotes)","ethnicity_estimate(white,precinct_percent_cvap,precinct_participation)","ethnicity_estimate(white,precinct_percent_cvap,precinct_ranked_finalists)","ethnicity_estimate(white,precinct_percent_cvap,precinct_overvotes)","ethnicity_estimate(latin,precinct_percent_cvap,precinct_participation)","ethnicity_estimate(latin,precinct_percent_cvap,precinct_ranked_finalists)","ethnicity_estimate(latin,precinct_percent_cvap,precinct_overvotes)","ethnicity_estimate(latin,precinct_percent_sov,precinct_participation)","ethnicity_estimate(latin,precinct_percent_sov,precinct_ranked_finalists)","ethnicity_estimate(latin,precinct_percent_sov,precinct_overvotes)","ethnicity_estimate(asian,precinct_percent_cvap,precinct_participation)","ethnicity_estimate(asian,precinct_percent_cvap,precinct_ranked_finalists)","ethnicity_estimate(asian,precinct_percent_cvap,precinct_overvotes)","ethnicity_estimate(asian,precinct_percent_sov,precinct_participation)","ethnicity_estimate(asian,precinct_percent_sov,precinct_ranked_finalists)","ethnicity_estimate(asian,precinct_percent_sov,precinct_overvotes)","ethnicity_estimate(other,precinct_percent_cvap,precinct_participation)","ethnicity_estimate(other,precinct_percent_cvap,precinct_ranked_finalists)","ethnicity_estimate(other,precinct_percent_cvap,precinct_overvotes)",cvap_totals,asian_ethnic_cvap_totals,black_ethnic_cvap_totals,latin_ethnic_cvap_totals,white_ethnic_cvap_totals
Minneapolis,MN,2009,Ward 10,Meg Tuthill,4,1,2405,0.7224391709221989,2405,0.7224391709221989,1,3329,3329,3431,0.7224391709221989,0,0.8534094322619405,True,975,1847,102,0,0,0,0,4,0,True,0.8101531991589066,True,True,0: 102; 1: 1482; 2: 872; 3: 975,102,0,0,872,2841,4,0,0,4,102,102,0,102,3329,102,False,1,"('Meg Tuthill', 'Kim Vlaisavljevich', 'Matthew Dowgwillo', 'David A. Alvarado', -3)",Meg Tuthill,0,"Counter({'Meg Tuthill': 2405, 'Kim Vlaisavljevich': 339, 'Matthew Dowgwillo': 292, 'David A. Alvarado': 287, -1: 102, -3: 6})","{'Matthew Dowgwillo', 'Kim Vlaisavljevich', 'Meg Tuthill', 'David A. Alvarado'}","Counter({1: 3325, 0: 102, 2: 4})",4,2841,2212,2066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minneapolis,MN,2009,Ward 11,John Quincy,3,1,2551,0.6361596009975062,2551,0.6361596009975062,1,4010,4010,4235,0.6361596009975062,0,0.812219451371571,True,510,2143,225,0,0,0,0,12,1,True,0.6610972568578554,True,True,0: 225; 1: 1867; 2: 1633; 3: 510,225,0,0,1633,3257,12,0,1,13,225,225,0,225,4010,225,False,1,"('John Quincy', 'Gregg A Iverson', 'David A. Alvarado', -3)",John Quincy,0,"Counter({'John Quincy': 2550, 'Gregg A Iverson': 734, 'David A. Alvarado': 704, -1: 226, -3: 21})","{'Gregg A Iverson', 'John Quincy', 'David A. Alvarado'}","Counter({1: 3998, 0: 225, 2: 12})",12,3257,1835,1817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minneapolis,MN,2009,Ward 12,Sandy Colvin Roy,4,1,3035,0.6432810512929207,3035,0.6432810512929207,1,4718,4718,4818,0.6432810512929207,0,0.7774480712166172,True,1224,2357,100,0,0,0,0,9,0,True,0.7236116998728275,True,True,0: 100; 1: 2361; 2: 1133; 3: 1224,100,0,0,1133,3668,9,0,0,9,100,100,0,100,4718,100,False,1,"('Sandy Colvin Roy', 'Rick L. Nyhlen', 'Charley Underwood', 'Brent Perry', -3)",Sandy Colvin Roy,0,"Counter({'Sandy Colvin Roy': 3035, 'Rick L. Nyhlen': 880, 'Charley Underwood': 663, 'Brent Perry': 130, -1: 100, -3: 10})","{'Brent Perry', 'Rick L. Nyhlen', 'Charley Underwood', 'Sandy Colvin Roy'}","Counter({1: 4709, 0: 100, 2: 9})",9,3668,2323,2155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minneapolis,MN,2009,Ward 13,Betsy Hodges,3,1,4141,0.6923591372680153,4141,0.6923591372680153,1,5981,5981,6059,0.6923591372680153,0,0.7896672797191105,True,1001,2554,78,0,0,0,0,18,0,True,0.7134258485203143,True,True,0: 78; 1: 3427; 2: 1553; 3: 1001,78,0,0,1553,4723,17,1,0,18,78,78,0,78,5981,78,False,1,"('Betsy Hodges', 'Kris Broberg', 'Joseph Henry', -3)",Betsy Hodges,0,"Counter({'Betsy Hodges': 4141, 'Kris Broberg': 1578, 'Joseph Henry': 256, -1: 78, -3: 6})","{'Joseph Henry', 'Betsy Hodges', 'Kris Broberg'}","Counter({1: 5963, 0: 78, 2: 17, 3: 1})",18,4723,2625,2563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minneapolis,MN,2009,Ward 2,Cam Gordon,2,1,2260,0.8404611379695054,2260,0.8404611379695054,1,2689,2689,2842,0.8404611379695054,0,0.8858311640014875,True,437,475,153,0,0,0,0,16,0,True,0.8430643361844552,True,True,0: 153; 1: 2214; 2: 449; 3: 26,153,0,0,449,2382,16,0,0,16,153,153,0,153,2689,153,False,1,"('Cam Gordon', 'Allen A. Aigbogun', -3)",Cam Gordon,0,"Counter({'Cam Gordon': 2260, 'Allen A. Aigbogun': 408, -1: 153, -3: 21})","{'Allen A. Aigbogun', 'Cam Gordon'}","Counter({1: 2673, 0: 153, 2: 16})",16,2382,1858,1852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minneapolis,MN,2009,Ward 3,Diane Hofstede,4,1,1465,0.6593159315931593,1465,0.6593159315931593,1,2222,2222,2257,0.6593159315931593,0,0.7952295229522952,True,641,1160,35,0,0,0,0,7,0,True,0.7016201620162016,True,True,0: 35; 1: 1062; 2: 519; 3: 641,35,0,0,519,1767,6,1,0,7,35,35,0,35,2222,35,False,1,"('Diane Hofstede', 'Michael J. Katch', 'Jeffery Cobia', -3, 'Raymond Wilson Rolfe')",Diane Hofstede,0,"Counter({'Diane Hofstede': 1465, 'Michael J. Katch': 348, 'Jeffery Cobia': 242, -3: 128, 'Raymond Wilson Rolfe': 39, -1: 35})","{'Raymond Wilson Rolfe', 'Jeffery Cobia', 'Michael J. Katch', 'Diane Hofstede'}","Counter({1: 2215, 0: 35, 2: 6, 3: 1})",7,1767,1131,1117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minneapolis,MN,2009,Ward 4,Barbara A. Johnson,4,3,1618,0.5209272376046362,1546,0.4686268566232192,1,3299,3106,3322,0.49045165201576235,193,0.6674749924219461,True,1250,1883,23,0,0,193,0,2,0,True,0.5274325553197938,True,True,0: 23; 1: 1416; 2: 633; 3: 1250,23,0,0,633,2202,2,0,0,2,216,216,0,23,3299,216,False,3,"('Barbara A. Johnson', 'Troy Parker', 'Marcus Harcus')",Barbara A. Johnson,0,"Counter({'Barbara A. Johnson': 1546, 'Troy Parker': 921, 'Marcus Harcus': 442, 'Grant Cermak': 386, -1: 23, -3: 4})","{'Marcus Harcus', 'Barbara A. Johnson', 'Troy Parker', 'Grant Cermak'}","Counter({1: 3297, 0: 23, 2: 2})",2,2202,488,638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minneapolis,MN,2009,Ward 5,Don Samuels,5,5,1131,0.5587944664031621,1020,0.4700460829493088,1,2170,2024,2200,0.5211981566820276,146,0.6387096774193548,True,981,1342,30,0,0,132,14,6,0,True,0.5211981566820276,True,True,0: 30; 1: 828; 2: 361; 3: 981,30,0,0,361,1386,5,1,0,6,176,176,14,30,2170,162,False,5,"('Don Samuels', 'Natalie Johnson Lee')",Don Samuels,0,"Counter({'Don Samuels': 1020, 'Natalie Johnson Lee': 652, 'Kenya McKnight': 336, 'Roger Smithrud': 93, 'Lennie Chism': 61, -1: 30, -3: 8})","{'Lennie Chism', 'Kenya McKnight', 'Don Samuels', 'Natalie Johnson Lee', 'Roger Smithrud'}","Counter({1: 2164, 0: 30, 2: 5, 3: 1})",6,1386,238,238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minneapolis,MN,2009,Ward 6,Robert Lilligren,6,1,1020,0.5284974093264249,1020,0.5284974093264249,1,1930,1930,1982,0.5284974093264249,0,0.6803108808290156,True,930,1259,52,0,0,0,0,4,0,True,0.6290155440414508,True,True,0: 52; 1: 671; 2: 329; 3: 930,52,0,0,329,1313,4,0,0,4,52,52,0,52,1930,52,False,1,"('Robert Lilligren', 'Michael Tupper', 'Laura Jean', 'Andy Exley', 'M. Cali', 'Bruce Lundeen', -3)",Robert Lilligren,0,"Counter({'Robert Lilligren': 1020, 'Michael Tupper': 292, 'Laura Jean': 231, 'Andy Exley': 165, 'M. Cali': 158, 'Bruce Lundeen': 60, -1: 52, -3: 4})","{'Laura Jean', 'Michael Tupper', 'M. Cali', 'Robert Lilligren', 'Bruce Lundeen', 'Andy Exley'}","Counter({1: 1926, 0: 52, 2: 4})",4,1313,791,728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minneapolis,MN,2009,Ward 7,Lisa Goodman,3,1,2997,0.6823770491803278,2997,0.6823770491803278,1,4392,4392,4532,0.6823770491803278,0,0.7704918032786885,True,753,1519,140,0,0,0,0,15,0,True,0.6926229508196722,True,True,0: 140; 1: 2873; 2: 766; 3: 753,140,0,0,766,3384,11,4,0,15,140,140,0,140,4392,140,False,1,"('Lisa Goodman', 'Michael J. Katch', 'Jeffrey Alan Wagner', -3)",Lisa Goodman,0,"Counter({'Lisa Goodman': 2997, 'Michael J. Katch': 1042, 'Jeffrey Alan Wagner': 321, -1: 140, -3: 32})","{'Jeffrey Alan Wagner', 'Michael J. Katch', 'Lisa Goodman'}","Counter({1: 4377, 0: 140, 2: 11, 3: 4})",15,3384,1805,1955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minneapolis,MN,2009,Ward 8,Elizabeth Glidden,5,1,2291,0.7399870801033591,2291,0.7399870801033591,1,3096,3096,3239,0.7399870801033591,0,0.8808139534883721,True,938,1834,143,0,0,0,0,4,0,True,0.7664728682170543,True,True,0: 143; 1: 1262; 2: 896; 3: 938,143,0,0,896,2727,4,0,0,4,143,143,0,143,3096,143,False,1,"('Elizabeth Glidden', 'Jeanine Estime', 'David Regan', 'Gregory McDonald', 'Michael J. Cavlan', -3)",Elizabeth Glidden,0,"Counter({'Elizabeth Glidden': 2291, 'Jeanine Estime': 470, 'David Regan': 174, -1: 143, 'Gregory McDonald': 115, 'Michael J. Cavlan': 43, -3: 3})","{'David Regan', 'Jeanine Estime', 'Michael J. Cavlan', 'Gregory McDonald', 'Elizabeth Glidden'}","Counter({1: 3092, 0: 143, 2: 4})",4,2727,1834,1821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minneapolis,MN,2009,Ward 9,Gary Schiff,4,1,1818,0.6070116861435726,1818,0.6070116861435726,1,2995,2995,3035,0.6070116861435726,0,0.8086811352253757,True,958,1913,40,0,0,0,0,8,1,True,0.6313856427378965,True,True,0: 40; 1: 1082; 2: 955; 3: 958,40,0,0,955,2422,8,0,1,9,40,40,0,40,2995,40,False,1,"('Gary Schiff', 'Dave Bicking', 'Todd J. Eberhardy', 'Khalif Jama', -3)",Gary Schiff,0,"Counter({'Gary Schiff': 1818, 'Dave Bicking': 816, 'Todd J. Eberhardy': 270, 'Khalif Jama': 83, -1: 40, -3: 8})","{'Dave Bicking', 'Todd J. Eberhardy', 'Khalif Jama', 'Gary Schiff'}","Counter({1: 2987, 0: 40, 2: 8})",8,2422,963,1002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berkeley,CA,2010,City Auditor,Ann-Marie Hogan,1,1,31428,0.9776948203453103,31428,0.9776948203453103,1,32145,32145,45986,0.9776948203453103,0,0.9831389018509877,True,31603,905,13819,22,0,0,0,9012,498,False,0.9776948203453103,True,True,0: 13841; 1: 31240; 2: 905,13819,40,22,905,31611,1292,7720,498,9472,13841,13819,0,13841,32145,13841,False,1,"('ANN-MARIE HOGAN', -3)",ANN-MARIE HOGAN,0,"Counter({'ANN-MARIE HOGAN': 31026, -1: 14257, -3: 682, -2: 21})",{'ANN-MARIE HOGAN'},"Counter({1: 23142, 0: 13832, 3: 7720, 2: 1292})",9012,31603,30711,30711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berkeley,CA,2010,Member City Council District 1,Linda Maio,4,1,3735,0.6552631578947369,3735,0.6552631578947369,1,5700,5700,6426,0.6552631578947369,0,0.8392982456140351,True,2651,3613,719,7,0,0,0,518,36,True,0.6945614035087719,True,True,0: 726; 1: 2087; 2: 962; 3: 2651,719,24,7,962,4785,191,327,36,566,726,719,0,726,5700,726,False,1,"('LINDA MAIO', 'JASPER KINGETER', 'MERRILIE MITCHELL', 'ANTHONY Di DONATO', -3)",LINDA MAIO,0,"Counter({'LINDA MAIO': 3727, 'JASPER KINGETER': 1274, -1: 735, 'MERRILIE MITCHELL': 476, 'ANTHONY Di DONATO': 190, -3: 18, -2: 6})","{'MERRILIE MITCHELL', 'LINDA MAIO', 'JASPER KINGETER', 'ANTHONY Di DONATO'}","Counter({1: 5186, 0: 722, 3: 327, 2: 191})",518,4784,2348,2457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berkeley,CA,2010,Member City Council District 4,Jesse Arreguin,4,1,2544,0.5345660853120403,2544,0.5345660853120403,1,4759,4759,5708,0.5345660853120403,0,0.7692792603488128,True,2510,3418,940,9,0,0,0,341,38,True,0.5952931288085732,True,True,0: 949; 1: 1341; 2: 908; 3: 2510,940,22,9,908,3664,141,200,38,385,949,940,0,949,4759,949,False,1,"('JESSE ARREGUIN', 'JIM NOVOSEL', 'BERNT RAINER WAHL', 'ERIC PANZER', -3)",JESSE ARREGUIN,0,"Counter({'JESSE ARREGUIN': 2537, 'JIM NOVOSEL': 1489, -1: 959, 'BERNT RAINER WAHL': 504, 'ERIC PANZER': 185, -3: 25, -2: 9})","{'BERNT RAINER WAHL', 'JESSE ARREGUIN', 'ERIC PANZER', 'JIM NOVOSEL'}","Counter({1: 4425, 0: 942, 3: 200, 2: 141})",341,3661,1033,1048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berkeley,CA,2010,Member City Council District 7,Kriss Worthington,3,2,2086,0.5005999520038397,2078,0.49665391969407263,1,4184,4167,4862,0.498565965583174,17,0.859942638623327,True,2523,3322,673,5,0,17,0,262,16,True,0.5762428298279159,True,True,0: 678; 1: 862; 2: 799; 3: 2523,673,18,5,799,3604,102,160,16,293,695,690,0,678,4184,695,False,2,"('KRISS WORTHINGTON', 'GEORGE BEIER', ""CECILIA ''CES'' ROSALES"")",KRISS WORTHINGTON,0,"Counter({'KRISS WORTHINGTON': 2077, 'GEORGE BEIER': 1434, -1: 680, ""CECILIA ''CES'' ROSALES"": 630, -3: 36, -2: 5})","{""CECILIA ''CES'' ROSALES"", 'KRISS WORTHINGTON', 'GEORGE BEIER'}","Counter({1: 3924, 0: 676, 3: 160, 2: 102})",262,3598,728,646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berkeley,CA,2010,Member City Council District 8,Gordon Wozniak,3,1,2806,0.6098674201260595,2806,0.6098674201260595,1,4601,4601,5333,0.6098674201260595,0,0.844599000217344,True,2361,3422,726,6,0,0,0,290,19,True,0.6755053249293632,True,True,0: 732; 1: 1179; 2: 1061; 3: 2361,726,18,6,1061,3887,127,163,19,319,732,726,0,732,4601,732,False,1,"('GORDON WOZNIAK', 'STEWART JONES', 'JACQUELYN McCORMICK', -3)",GORDON WOZNIAK,0,"Counter({'GORDON WOZNIAK': 2803, 'STEWART JONES': 888, 'JACQUELYN McCORMICK': 878, -1: 734, -3: 24, -2: 6})","{'GORDON WOZNIAK', 'STEWART JONES', 'JACQUELYN McCORMICK'}","Counter({1: 4315, 0: 728, 3: 163, 2: 127})",290,3886,1756,1917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oakland,CA,2010,City Auditor,Courtney Ruby,2,1,65335,0.6692445582586428,65335,0.6692445582586428,1,97625,97625,122268,0.6692445582586428,0,0.8767733674775928,True,56844,58426,24521,122,0,0,0,21148,1166,True,0.6712829705505762,True,True,0: 24643; 1: 39199; 2: 49693; 3: 8733,24521,363,122,49693,85649,11991,9157,1166,22259,24643,24521,0,24643,97625,24643,False,1,"('COURTNEY RUBY', 'MICHAEL KILIAN', -3)",COURTNEY RUBY,0,"Counter({'COURTNEY RUBY': 65051, 'MICHAEL KILIAN': 30897, -1: 25024, -3: 1175, -2: 121})","{'MICHAEL KILIAN', 'COURTNEY RUBY'}","Counter({1: 76562, 0: 24558, 2: 11991, 3: 9157})",21148,85595,34162,34249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oakland,CA,2010,Mayor,Jean Quan,10,10,53897,0.5095727481587232,29266,0.24468467564607424,2,119607,105769,122268,0.4506174387786668,13838,0.6247376825771067,True,86361,102171,2306,355,171,6969,6698,9862,481,True,0.4506174387786668,False,True,0: 2661; 1: 17436; 2: 15810; 3: 86361,2306,1067,526,15810,74860,3728,6134,481,11205,16499,15973,6698,2661,119607,9801,True,10,"('JEAN QUAN', 'DON PERATA')",JEAN QUAN,0,"Counter({'DON PERATA': 40293, 'JEAN QUAN': 29198, 'REBECCA KAPLAN': 25788, 'JOE TUMAN': 14332, 'MARCIE HODGE': 2984, -1: 2507, 'TERENCE CANDELL': 2308, 'DON MACLEAY': 1627, 'GREG HARLAND': 960, ""LARRY LIONEL ''LL'' YOUNG JR."": 924, 'ARNOLD FIELDS': 728, -2: 353, -3: 266})","{'DON MACLEAY', ""LARRY LIONEL ''LL'' YOUNG JR."", 'DON PERATA', 'GREG HARLAND', 'TERENCE CANDELL', 'MARCIE HODGE', 'REBECCA KAPLAN', 'JEAN QUAN', 'ARNOLD FIELDS', 'JOE TUMAN'}","Counter({1: 109976, 3: 6134, 2: 3728, 0: 2430})",9862,74723,2025,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oakland,CA,2010,Member City Council District 2,Patricia Kernighan,2,1,8954,0.6567886745397198,8954,0.6567886745397198,1,13633,13633,15243,0.6567886745397198,0,0.829751338663537,True,6946,7179,1599,11,0,0,0,2492,158,True,0.6576688916599428,True,True,0: 1610; 1: 6454; 2: 6215; 3: 964,1599,38,11,6215,11315,1334,1158,158,2624,1610,1599,0,1610,13633,1610,False,1,"('PATRICIA KERNIGHAN', 'JENNIFER S. PAE', -3)",PATRICIA KERNIGHAN,0,"Counter({'PATRICIA KERNIGHAN': 8917, 'JENNIFER S. PAE': 4577, -1: 1663, -3: 75, -2: 11})","{'JENNIFER S. PAE', 'PATRICIA KERNIGHAN'}","Counter({1: 11148, 0: 1603, 2: 1334, 3: 1158})",2492,11312,4349,4350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oakland,CA,2010,Member City Council District 4,Libby Schaaf,7,6,10439,0.5306796807483097,8756,0.4170715442507383,1,20994,19671,23884,0.49723730589692294,1323,0.676621891969134,True,13499,16951,2844,46,14,992,317,1320,111,True,0.536629513194246,True,True,0: 2890; 1: 4043; 2: 3452; 3: 13499,2844,113,60,3452,14220,599,721,111,1516,4213,4153,317,2890,20994,3896,False,6,"('LIBBY SCHAAF', 'JILL BROADHURST', 'MELANIE SHELBY')",LIBBY SCHAAF,0,"Counter({'LIBBY SCHAAF': 8746, 'JILL BROADHURST': 4794, -1: 2903, 'MELANIE SHELBY': 2448, 'DANIEL SWAFFORD': 2345, 'CLINTON KILLIAN': 1133, 'RALPH KANZ': 878, 'JASON GILLEN': 526, -3: 67, -2: 44})","{'DANIEL SWAFFORD', 'JILL BROADHURST', 'LIBBY SCHAAF', 'JASON GILLEN', 'RALPH KANZ', 'CLINTON KILLIAN', 'MELANIE SHELBY'}","Counter({1: 19705, 0: 2859, 3: 721, 2: 599})",1320,14205,4657,4611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oakland,CA,2010,Member City Council District 6,Desley Brooks,3,1,8282,0.6414685152195801,8282,0.6414685152195801,1,12911,12911,14040,0.6414685152195801,0,0.8588025714507009,True,7187,9035,1117,12,0,0,0,2136,128,True,0.684687475795833,True,True,0: 1129; 1: 3876; 2: 1848; 3: 7187,1117,64,12,1848,11095,794,1342,128,2267,1129,1117,0,1129,12911,1129,False,1,"('DESLEY BROOKS', 'JOSE DORADO', 'NANCY SIDEBOTHAM', -3)",DESLEY BROOKS,0,"Counter({'DESLEY BROOKS': 8254, 'JOSE DORADO': 2755, 'NANCY SIDEBOTHAM': 1773, -1: 1163, -3: 84, -2: 11})","{'JOSE DORADO', 'DESLEY BROOKS', 'NANCY SIDEBOTHAM'}","Counter({1: 10783, 3: 1342, 0: 1121, 2: 794})",2136,11088,5205,5515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oakland,CA,2010,School Director District 2,David Kakishiba,1,1,9892,0.9770841564598973,9892,0.9770841564598973,1,10124,10124,15243,0.9770841564598973,0,0.9829118925325958,True,9951,771,5114,5,0,0,0,2309,81,False,0.9770841564598973,True,True,0: 5119; 1: 9353; 2: 771,5114,17,5,771,9951,669,1640,81,2388,5119,5114,0,5119,10124,5119,False,1,"('DAVID KAKISHIBA', -3)",DAVID KAKISHIBA,0,"Counter({'DAVID KAKISHIBA': 9833, -1: 5176, -3: 229, -2: 5})",{'DAVID KAKISHIBA'},"Counter({1: 7816, 0: 5118, 3: 1640, 2: 669})",2309,9951,9660,9660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oakland,CA,2010,School Director District 4,Gary D. Yee,2,1,13043,0.6865820919092488,13043,0.6865820919092488,1,18997,18997,23884,0.6865820919092488,0,0.8731378638732431,True,10483,10733,4871,16,0,0,0,2668,92,True,0.6877401695004475,True,True,0: 4887; 1: 8264; 2: 9254; 3: 1479,4871,40,16,9254,16591,1397,1271,92,2778,4887,4871,0,4887,18997,4887,False,1,"('GARY D. YEE', 'BENJAMIN VISNICK', -3)",GARY D. YEE,0,"Counter({'GARY D. YEE': 13017, 'BENJAMIN VISNICK': 5791, -1: 4906, -3: 154, -2: 16})","{'BENJAMIN VISNICK', 'GARY D. YEE'}","Counter({1: 16337, 0: 4879, 2: 1397, 3: 1271})",2668,16587,7239,7245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oakland,CA,2010,School Director District 6,Christopher Dobbins,1,1,9908,0.9747171667486473,9908,0.9747171667486473,1,10165,10165,14040,0.9747171667486473,0,0.9808165272995573,True,9970,822,3868,7,0,0,0,3234,91,False,0.9747171667486473,True,True,0: 3875; 1: 9343; 2: 822,3868,15,7,822,9972,712,2522,91,3318,3875,3868,0,3875,10165,3875,False,1,"('CHRISTOPHER DOBBINS', -3)",CHRISTOPHER DOBBINS,0,"Counter({'CHRISTOPHER DOBBINS': 9832, -1: 3946, -3: 255, -2: 7})",{'CHRISTOPHER DOBBINS'},"Counter({1: 6933, 0: 3873, 3: 2522, 2: 712})",3234,9970,9651,9651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
