notes,jurisdiction,state,year,date,office,exhaust_on_overvote_marks,exhaust_on_repeated_skipped_marks,exhaust_on_duplicate_candidate_marks,multi_winner_rounds,exclude_writein_marks,combine_writein_marks,treat_combined_writeins_as_exhaustable_duplicates,parser_func,extra_parser_args,rcv_type,bottoms_up_threshold,n_winners,split_fields,cvr_path,ignore_contest
Minneapolis Ward 9 2017,Minneapolis,MN,2017,11/7/2017,Ward 9 City Council ,FALSE,FALSE,FALSE,,FALSE,TRUE,FALSE,rank_column_csv,,SingleWinner,,1,Precinct,Minnesota\Minneapolis\2017\modified\2017-ward-9-cvr.csv,
Minneapolis Park At Large 2017,Minneapolis,MN,2017,11/7/2017,Park Board At Large,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,rank_column_csv,,STVFractionalBallot,,3,Precinct,Minnesota\Minneapolis\2017\modified\2017-park-at-large-cvr.csv,
Minneapolis Park District 4 2017,Minneapolis,MN,2017,11/7/2017,P&R Board District 4,FALSE,FALSE,FALSE,,FALSE,TRUE,FALSE,rank_column_csv,,SingleWinner,,1,Precinct,Minnesota\Minneapolis\2017\modified\2017-park-district-4-cvr.csv,
Minneapolis Park District 5 2017,Minneapolis,MN,2017,11/7/2017,P&R Board District 5,FALSE,FALSE,FALSE,,FALSE,TRUE,FALSE,rank_column_csv,,SingleWinner,,1,Precinct,Minnesota\Minneapolis\2017\modified\2017-park-district-5-cvr.csv,
