Ballots with first choice:,Number of Ballots (excluding undervotes and ballots with first round overvote),Mean Valid Rankings Used (excluding duplicates),Median Valid Rankings Used (excluding duplicates)
Any candidate,19403,4.427975055403803,4
"Allen, Ruth Ryan",892,4.134529147982063,3.0
"Bowman, Mannika L.",3107,4.741873189571934,4
"Dawson, Bernette J.",976,4.891393442622951,5.0
"Dexter, Emily R.",2999,4.718239413137713,4
"Fantini, Alfred B.",2662,3.4628099173553717,3.0
"Kadete, Elechi M.",814,4.402948402948403,4.0
"Lim, Christopher",934,4.495717344753747,4.0
"Rojas Villareal, Jose Luis",1131,4.626878868258179,4
"Weinstain, Rachel",2176,4.353400735294118,4.0
"Weinstein, David J.",971,4.80226570545829,4
"Wilson, Ayesha",2690,4.4881040892193305,4.0
writeIns,51,2.5098039215686274,1
