Ballots with first choice:,Number of Ballots (excluding undervotes and ballots with first round overvote),Mean Valid Rankings Used (excluding duplicates),Median Valid Rankings Used (excluding duplicates)
Any candidate,22515,6.767754830113258,6
"Benjamin, Ronald",241,4.854771784232365,3
"Burgin, Josh M.",392,5.971938775510204,4.0
"Carlone, Dennis J.",1175,7.147234042553191,6
"D'Ambrosio, Olivia",216,8.26388888888889,7.5
"Devereux, Jan",1698,7.224381625441696,6.0
"Gebru, Samuel",787,6.354510800508259,5
"Harding, Jr., Richard",835,5.7377245508982035,4
"Kelley, Craig A.",1092,6.706959706959707,6.0
"Lenke, Dan",53,7.547169811320755,6
"Levy, Ilan",246,7.308943089430894,6.0
"Mallon, Alanna M.",1328,7.313253012048193,6.0
"McGovern, Marc C.",1879,7.111761575306014,6
"Moree, Gregg J.",46,5.478260869565218,4.0
"Musgrave, Adriane B.",580,8.217241379310344,8.0
"Okamoto, Nadya T.",550,6.889090909090909,6.0
"Pillai, Hari I.",107,8.289719626168225,7
"Santos, Jeff",147,7.040816326530612,6
"Siddiqui, Sumbul",2532,6.852290679304898,6.0
"Simmons, E. Denise",2616,6.819954128440367,6.0
"Sivongxay, Vatsady",740,7.7527027027027025,7.0
"Sutton, Bryan",45,7.088888888888889,6
"Tierney, Sean",778,6.619537275064268,6.0
"Toner, Paul F.",980,5.531632653061225,5.0
"Toomey, Jr., Timothy J.",1618,4.670580964153276,3.0
"Volmar, Gwen Thomas",248,7.028225806451613,6.0
"Zondervan, Quinton Y.",1565,7.699041533546326,7
writeIns,21,6.190476190476191,7
