Ballots with first choice:,Number of Ballots (excluding undervotes and ballots with first round overvote),Mean Valid Rankings Used (excluding duplicates),Median Valid Rankings Used (excluding duplicates)
Any candidate,18563,3.555244303183753,3
"Craig, Christopher",556,3.962230215827338,3.0
"Fantini, Alfred B.",2884,3.3013176144244105,3.0
"Grassi, Joseph G.",2276,3.275043936731107,3.0
"Harding, Richard, Jr.",2344,3.537542662116041,3.0
"Lummis, Ben",2588,3.6472179289026276,3.0
"McGovern, Marc C.",2702,3.649518874907476,3.0
"Price, Alan C.",1293,4.090487238979119,4
"Walser, Nancy",3823,3.5903740517917866,3
writeIns,97,2.1752577319587627,1
