Ballots with first choice:,Number of Ballots (excluding undervotes and ballots with first round overvote),Mean Valid Rankings Used (excluding duplicates),Median Valid Rankings Used (excluding duplicates)
Any candidate,20699,4.371177351562878,4
"Bowman, Manikka L.",2768,4.71893063583815,4.0
"Cronin, Fran A.",1571,4.322724379376194,4
"Crutchfield, Jake W.",1038,4.458574181117534,4.0
"Dexter, Emily R.",2376,4.941919191919192,5.0
"Fantini, Alfred B.",2728,3.3299120234604107,3.0
"Kadete, Elechi M.",845,4.183431952662722,3
"Kelly, Kathleen M.",1880,4.346276595744681,4.0
"Kimbrough, Laurance V.",1855,4.584366576819407,4
"MacArthur, William",795,4.50440251572327,4
"Mitros, Piotr Flawiusz",511,5.234833659491194,5
"Nolan, Patricia M.",3457,4.369395429563205,4
"Weinstein, David J.",797,4.301129234629862,4
writeIns,78,2.217948717948718,1.0
