condorcet winner: Mike Pence,Donald Trump Jr.,Ivanka Trump,Marco Rubio,Mike Pence,Nikki Haley,Ted Cruz
Donald Trump Jr.,,60.11,51.74,28.68,50.26,39.74
Ivanka Trump,39.89,,42.97,20.75,41.82,33.62
Marco Rubio,48.26,57.03,,20.89,46.27,33.81
Mike Pence,71.32,79.25,79.11,,70.29,64.29
Nikki Haley,49.74,58.18,53.73,29.71,,38.39
Ted Cruz,60.26,66.38,66.19,35.71,61.61,
