condorcet winner: Mike Pence,Donald Trump Jr.,Ivanka Trump,Marco Rubio,Mike Pence,Nikki Haley,Ted Cruz
Donald Trump Jr.,,129.38,159.18,111.62,150.47,138.46
Ivanka Trump,85.85,,115.93,77.80,110.60,112.24
Marco Rubio,148.48,153.85,,82.10,122.75,103.33
Mike Pence,277.58,297.22,310.92,,288.41,265.33
Nikki Haley,148.91,153.87,142.56,121.93,,122.75
Ted Cruz,209.91,221.63,202.33,147.37,197.02,
