candidate,r1_active_percent,r1_count,r1_transfer
BUD RYERSON,0.164,38.0,
HILLARY RONEN,99.401,23058.0,
writeIns,0.435,101.0,
exhaust,0.0,7.0,
colsum,100.0,23204.0,
