candidate,r1_active_percent,r1_count,r1_transfer,r2_active_percent,r2_count,r2_transfer,r3_active_percent,r3_count,r3_transfer,r4_active_percent,r4_count,r4_transfer,r5_active_percent,r5_count,r5_transfer,r6_active_percent,r6_count,r6_transfer,r7_active_percent,r7_count,r7_transfer
STEPHEN W. MARTIN-PINTO,11.048,3512.0,1.0,11.054,3513.0,193.0,11.69,3706.0,589.0,13.67,4295.0,-4295.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
writeIns,0.066,21.0,-21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
KEN PIPER,2.501,795.0,0.0,2.502,795.0,-795.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
JOEL ENGARDIO,23.923,7605.0,3.0,23.94,7608.0,118.0,24.37,7726.0,777.0,27.063,8503.0,1650.0,33.402,10153.0,1182.0,38.304,11335.0,1827.0,46.659,13162.0,
MYRNA MELGAR,20.406,6487.0,1.0,20.415,6488.0,88.0,20.743,6576.0,517.0,22.576,7093.0,527.0,25.069,7620.0,1913.0,32.215,9533.0,5514.0,53.341,15047.0,
VILASKA NGUYEN,20.963,6664.0,3.0,20.979,6667.0,117.0,21.399,6784.0,267.0,22.442,7051.0,568.0,25.066,7619.0,1105.0,29.481,8724.0,-8724.0,0.0,0.0,
EMILY MURASE,12.652,4022.0,1.0,12.659,4023.0,61.0,12.882,4084.0,393.0,14.249,4477.0,527.0,16.463,5004.0,-5004.0,0.0,0.0,0.0,0.0,0.0,
BEN MATRANGA,8.44,2683.0,3.0,8.452,2686.0,141.0,8.917,2827.0,-2827.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
exhaust,0.0,104.0,9.0,0.0,113.0,77.0,0.0,190.0,284.0,0.0,474.0,1023.0,0.0,1497.0,804.0,0.0,2301.0,1383.0,0.0,3684.0,
colsum,99.999,31893.0,0.0,100.001,31893.0,0.0,100.001,31893.0,0.0,100.0,31893.0,0.0,100.0,31893.0,0.0,100.0,31893.0,0.0,100.0,31893.0,
