candidate,r1_active_percent,r1_count,r1_transfer,r2_active_percent,r2_count,r2_transfer,r3_active_percent,r3_count,r3_transfer,r4_active_percent,r4_count,r4_transfer,r5_active_percent,r5_count,r5_transfer,r6_active_percent,r6_count,r6_transfer,r7_active_percent,r7_count,r7_transfer
CONNIE CHAN,37.109,10651.0,4.0,37.136,10655.0,16.0,37.227,10671.0,148.0,37.797,10819.0,235.0,38.834,11054.0,256.0,40.229,11310.0,2256.0,49.921,13566.0,
ANDREW N. MAJALYA,0.843,242.0,0.0,0.843,242.0,-242.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
SHERMAN R. D'SILVA,4.285,1230.0,2.0,4.294,1232.0,51.0,4.476,1283.0,58.0,4.685,1341.0,198.0,5.407,1539.0,-1539.0,0.0,0.0,0.0,0.0,0.0,
writeIns,0.153,44.0,-44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
AMANDA INOCENCIO,1.923,552.0,0.0,1.924,552.0,15.0,1.978,567.0,-567.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
DAVID E. LEE,17.406,4996.0,12.0,17.454,5008.0,27.0,17.565,5035.0,139.0,18.076,5174.0,215.0,18.932,5389.0,327.0,20.332,5716.0,-5716.0,0.0,0.0,
MARJAN PHILHOUR,34.681,9954.0,13.0,34.738,9967.0,46.0,34.931,10013.0,97.0,35.32,10110.0,373.0,36.828,10483.0,605.0,39.439,11088.0,2521.0,50.079,13609.0,
VERONICA SHINZATO,3.599,1033.0,3.0,3.611,1036.0,60.0,3.823,1096.0,84.0,4.122,1180.0,-1180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
exhaust,0.0,90.0,10.0,0.0,100.0,27.0,0.0,127.0,41.0,0.0,168.0,159.0,0.0,327.0,351.0,0.0,678.0,939.0,0.0,1617.0,
colsum,99.999,28792.0,0.0,100.0,28792.0,0.0,99.99999999999999,28792.0,0.0,100.0,28792.0,0.0,100.001,28792.0,0.0,100.0,28792.0,0.0,100.0,28792.0,
