candidate,r1_active_percent,r1_count,r1_transfer,r2_active_percent,r2_count,r2_transfer,r3_active_percent,r3_count,r3_transfer,r4_active_percent,r4_count,r4_transfer
JOHN AVALOS,41.581,9903.0,1.0,41.587,9904.0,6.0,41.633,9910.0,774.0,45.59,10684.0,
writeIns,0.113,27.0,0.0,0.113,27.0,-27.0,0.0,0.0,0.0,0.0,0.0,
MARCELO COLUSSI,8.545,2035.0,4.0,8.562,2039.0,5.0,8.587,2044.0,-2044.0,0.0,0.0,
AHSHA SAFAI,49.71,11839.0,6.0,49.738,11845.0,4.0,49.779,11849.0,902.0,54.41,12751.0,
JASON CHUYUAN ZENG,0.05,12.0,-12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
exhaust,0.0,101.0,1.0,0.0,102.0,12.0,0.0,114.0,368.0,0.0,482.0,
colsum,99.99900000000001,23917.0,0.0,100.0,23917.0,0.0,99.999,23917.0,0.0,100.0,23917.0,
