,Rank 1,Rank 2,Rank 3,Did Not Rank
"Crafts, Lydia V.",50.05,75.73,85.85,14.15
"Levesque, David J.",13.71,36.62,75.46,24.54
"Pieh, Wendy",33.24,65.29,85.96,14.04
