Ballots with first choice:,Number of Ballots,"Craig, Christopher ranked in top 3","Fantini, Alfred B. ranked in top 3","Grassi, Joseph G. ranked in top 3","Harding, Richard, Jr. ranked in top 3","Lummis, Ben ranked in top 3","McGovern, Marc C. ranked in top 3","Price, Alan C. ranked in top 3","Walser, Nancy ranked in top 3",writeIns ranked in top 3
"Craig, Christopher",556.0,100.0,16.01,13.13,9.53,51.26,46.94,12.77,16.55,0.0
"Fantini, Alfred B.",2884.0,5.58,100.0,57.84,23.51,11.13,15.05,9.4,16.75,0.35
"Grassi, Joseph G.",2276.0,6.46,53.6,100.0,26.32,8.35,11.03,8.88,17.0,0.35
"Harding, Richard, Jr.",2344.0,5.25,20.73,24.19,100.0,16.81,17.36,27.39,27.22,0.43
"Lummis, Ben",2588.0,16.31,9.2,8.54,18.93,100.0,40.88,30.83,32.38,0.23
"McGovern, Marc C.",2702.0,16.36,15.17,11.62,20.43,39.08,100.0,21.61,30.5,0.41
"Price, Alan C.",1293.0,7.19,14.08,7.58,36.5,35.89,26.53,100.0,44.01,0.23
"Walser, Nancy",3823.0,7.95,14.31,12.71,31.23,27.07,19.59,33.66,100.0,0.18
writeIns,97.0,4.12,4.12,3.09,7.22,11.34,8.25,7.22,11.34,100.0
