Ballots with first choice:,Number of Ballots,"Fantini, Alfred B. ranked in top 3","Grassi, Joseph G. ranked in top 3","Harding, Richard, Jr. ranked in top 3","Lummis, Ben ranked in top 3","McGovern, Marc C. ranked in top 3","Nolan, Patricia M. ranked in top 3","Schuster, Luc ranked in top 3","Walser, Nancy ranked in top 3",writeIns ranked in top 3
"Fantini, Alfred B.",2278.0,100.0,57.37,21.77,10.27,15.67,12.91,6.1,12.95,0.22
"Grassi, Joseph G.",1990.0,55.23,100.0,25.68,9.9,12.56,10.3,5.38,12.26,0.3
"Harding, Richard, Jr.",1979.0,22.13,27.74,100.0,18.04,18.95,12.89,14.91,19.76,0.61
"Lummis, Ben",1512.0,10.85,10.38,18.39,100.0,29.7,26.06,22.16,43.85,0.33
"McGovern, Marc C.",1411.0,15.24,10.13,21.76,27.71,100.0,31.33,21.76,34.59,0.0
"Nolan, Patricia M.",2385.0,9.77,11.4,13.63,22.43,28.13,100.0,40.75,35.56,0.29
"Schuster, Luc",1842.0,9.39,7.65,19.6,27.14,26.6,36.16,100.0,31.92,0.38
"Walser, Nancy",2001.0,14.54,14.59,14.69,33.98,25.84,32.23,19.24,100.0,0.2
writeIns,55.0,1.82,1.82,14.55,0.0,3.64,12.73,1.82,12.73,100.0
