Ballots with first choice:,Number of Ballots,"Bellew, Carole K. ranked in top 3","Davis, Henrietta ranked in top 3","DeBergalis, Matt S. ranked in top 3","Decker, Marjorie C. ranked in top 3","Dixon, Vincent Lawrence ranked in top 3","Galluccio, Anthony D. ranked in top 3","Greenwood, Dan J. ranked in top 3","Hall, Robert L., Sr. ranked in top 3","Kelley, Craig A. ranked in top 3","King, Ethridge A., Jr. ranked in top 3","LaTremouille, Robert J. ranked in top 3","Maher, David P. ranked in top 3","Murphy, Brian ranked in top 3","Pitkin, John ranked in top 3","Reeves, Kenneth E. ranked in top 3","Simmons, Denise ranked in top 3","Smith, Aimee Louise ranked in top 3","Sullivan, Michael A. ranked in top 3","Taymorberry, Laurie ranked in top 3","Toomey, Timothy J., Jr. ranked in top 3",writeIns ranked in top 3
"Bellew, Carole K.",729,729,236,72,112,20,121,3,13,73,36,12,60,134,102,45,81,42,55,26,52,4
"Davis, Henrietta",1831,277,1831,111,617,12,274,4,12,103,101,17,157,493,208,213,436,44,135,72,63,1
"DeBergalis, Matt S.",1203,102,190,1203,201,34,105,34,21,95,104,30,59,276,48,108,84,151,70,51,66,11
"Decker, Marjorie C.",1367,101,416,40,1367,11,266,7,11,94,49,14,115,247,118,309,344,53,139,49,88,0
"Dixon, Vincent Lawrence",64,2,5,8,4,64,10,15,8,4,5,6,7,8,5,4,9,8,8,2,3,0
"Galluccio, Anthony D.",2977,103,240,58,287,19,2977,23,38,138,87,24,1091,220,101,373,235,34,1324,37,791,7
"Greenwood, Dan J.",39,2,3,6,1,0,2,39,11,10,4,4,4,3,4,3,1,7,2,1,1,0
"Hall, Robert L., Sr.",93,7,9,4,7,4,12,3,93,13,19,7,10,3,9,10,15,2,6,4,4,1
"Kelley, Craig A.",983,119,218,37,154,11,193,14,34,983,39,26,109,152,226,77,98,53,88,38,47,3
"King, Ethridge A., Jr.",353,30,48,43,37,11,69,11,11,25,353,11,48,35,30,38,46,12,48,16,23,2
"LaTremouille, Robert J.",122,9,17,7,14,5,10,1,2,19,16,122,4,12,12,15,14,16,13,11,6,1
"Maher, David P.",1177,38,95,21,109,11,559,5,11,47,31,3,1177,184,62,81,57,7,561,11,228,3
"Murphy, Brian",1356,172,601,81,298,9,180,9,8,93,44,10,173,1356,156,124,243,40,120,75,45,1
"Pitkin, John",1005,175,325,39,228,10,108,13,13,168,47,25,82,215,1005,67,122,58,69,48,39,1
"Reeves, Kenneth E.",1509,49,238,38,292,15,337,8,30,23,117,26,94,92,44,1509,694,78,268,32,121,3
"Simmons, Denise",1165,86,305,26,359,18,136,4,18,43,66,7,36,155,74,365,1165,131,111,102,75,4
"Smith, Aimee Louise",477,54,75,66,75,17,25,11,11,31,25,19,9,47,41,41,126,477,26,98,20,2
"Sullivan, Michael A.",1634,40,134,23,191,25,765,5,9,54,30,24,532,114,33,150,105,18,1634,32,590,2
"Taymorberry, Laurie",176,28,45,18,30,3,10,1,1,10,12,3,10,26,16,15,28,20,12,176,12,0
"Toomey, Timothy J., Jr.",1599,97,103,22,121,19,697,5,17,26,19,9,319,58,33,121,82,27,764,34,1599,4
writeIns,37,1,4,2,3,2,7,1,1,2,4,0,0,2,1,4,2,1,2,0,0,37
