Ballots with first choice:,Number of Ballots,"Adkins, Lawrence J. ranked in top 3","Cheung, Leland ranked in top 3","Davis, Henrietta ranked in top 3","Decker, Marjorie C. ranked in top 3","Flanagan, Mark F. ranked in top 3","Glick, Silvia P. ranked in top 3","Kelley, Craig A. ranked in top 3","Leavitt, Neal W. ranked in top 3","Maher, David P. ranked in top 3","Marquardt, Charles J. ranked in top 3","Moree, Gregg J. ranked in top 3","Podgers, Kathy ranked in top 3","Reeves, Kenneth E. ranked in top 3","Seidel, Sam ranked in top 3","Simmons, E. Denise ranked in top 3","Stohlman, Jr., Thomas J. ranked in top 3","Sullivan, Edward J. ranked in top 3","Toomey, Jr., Timothy J. ranked in top 3","Ward, Larry W. ranked in top 3","Williamson, James M. ranked in top 3","vanBeuzekom, Minka Y. ranked in top 3",writeIns ranked in top 3
"Adkins, Lawrence J.",103.0,100.0,11.65,9.71,1.94,10.68,10.68,12.62,4.85,1.94,5.83,0.97,0.0,34.95,2.91,17.48,1.94,2.91,5.83,20.39,5.83,10.68,0.0
"Cheung, Leland",755.0,1.99,100.0,24.64,3.97,4.77,7.68,16.42,4.64,10.46,5.17,1.46,3.44,7.15,16.56,17.09,9.4,5.83,7.95,6.89,2.38,13.77,0.4
"Davis, Henrietta",1857.0,1.02,10.5,100.0,10.61,1.08,5.12,16.37,1.94,15.08,1.94,0.32,1.88,13.46,25.36,32.85,6.52,2.37,8.62,12.33,0.38,10.23,0.22
"Decker, Marjorie C.",1285.0,0.54,5.29,33.62,100.0,0.78,2.02,9.11,1.17,11.67,2.1,0.39,1.4,18.91,16.81,32.68,2.65,8.48,10.74,11.36,0.93,8.4,0.08
"Flanagan, Mark F.",111.0,3.6,18.02,16.22,1.8,100.0,17.12,7.21,10.81,8.11,8.11,1.8,3.6,10.81,8.11,13.51,4.5,7.21,9.01,3.6,2.7,9.01,0.0
"Glick, Silvia P.",256.0,3.12,19.14,22.66,8.59,1.56,100.0,14.45,5.08,4.69,9.77,1.56,7.03,9.38,15.23,15.23,6.25,2.34,5.47,7.42,1.17,22.66,0.0
"Kelley, Craig A.",1249.0,1.44,12.17,28.18,5.84,1.12,8.41,100.0,3.52,13.77,8.17,1.04,1.28,8.57,27.94,17.37,6.49,4.32,9.29,9.05,0.64,13.85,0.24
"Leavitt, Neal W.",136.0,0.74,17.65,19.85,5.88,3.68,8.09,9.56,100.0,12.5,5.88,1.47,2.21,10.29,16.91,11.76,7.35,4.41,7.35,5.88,2.21,10.29,1.47
"Maher, David P.",1285.0,0.62,4.44,18.37,7.24,1.56,1.71,11.67,2.02,100.0,3.11,1.79,0.78,9.03,12.3,11.44,4.28,28.79,38.05,7.78,0.7,2.41,0.16
"Marquardt, Charles J.",385.0,2.34,15.58,8.57,4.42,2.86,7.01,18.18,4.16,10.39,100.0,3.38,3.38,4.42,11.17,7.01,3.64,14.55,12.73,5.97,1.3,8.05,0.26
"Moree, Gregg J.",47.0,2.13,4.26,4.26,2.13,4.26,6.38,10.64,4.26,6.38,4.26,100.0,29.79,17.02,6.38,19.15,14.89,8.51,14.89,6.38,6.38,8.51,0.0
"Podgers, Kathy",78.0,6.41,12.82,10.26,2.56,3.85,20.51,10.26,2.56,7.69,8.97,10.26,100.0,8.97,10.26,10.26,6.41,5.13,1.28,7.69,3.85,11.54,1.28
"Reeves, Kenneth E.",1165.0,3.52,4.64,16.82,6.27,1.29,1.8,4.29,0.86,6.87,1.89,0.86,0.94,100.0,11.93,48.84,2.66,10.47,14.94,15.11,1.37,4.12,0.34
"Seidel, Sam",899.0,1.33,13.24,37.71,6.79,1.0,4.23,17.24,4.12,13.79,3.0,0.44,0.89,8.45,100.0,24.81,8.9,3.56,7.56,13.46,0.44,11.46,0.0
"Simmons, E. Denise",1781.0,2.53,6.46,27.79,8.59,1.29,3.43,6.79,1.01,8.93,2.02,0.56,1.52,37.45,12.75,100.0,2.58,6.4,14.43,19.37,1.24,6.34,0.39
"Stohlman, Jr., Thomas J.",377.0,1.06,11.41,27.32,3.98,1.06,4.77,17.24,3.18,14.32,3.98,1.33,1.33,5.04,29.44,13.53,100.0,5.31,5.57,11.41,1.06,13.26,0.0
"Sullivan, Edward J.",883.0,2.15,4.64,6.91,4.98,4.42,2.49,9.85,1.25,33.86,6.46,2.49,1.36,8.15,4.3,8.61,2.72,100.0,42.81,5.21,2.27,3.96,0.34
"Toomey, Jr., Timothy J.",1746.0,0.69,5.73,10.77,4.01,2.52,1.49,8.76,1.49,24.4,5.15,1.09,0.86,14.32,5.61,13.97,2.41,31.79,100.0,8.42,0.86,2.81,0.06
"Ward, Larry W.",735.0,3.95,7.48,25.31,8.03,1.22,1.77,11.7,1.77,11.97,2.04,1.09,0.95,23.4,15.51,35.1,5.85,4.76,8.3,100.0,2.45,7.07,0.41
"Williamson, James M.",89.0,16.85,12.36,12.36,2.25,8.99,14.61,8.99,5.62,4.49,2.25,2.25,11.24,10.11,8.99,23.6,5.62,4.49,5.62,10.11,100.0,12.36,0.0
"vanBeuzekom, Minka Y.",682.0,2.05,18.62,31.23,6.3,2.35,8.06,15.84,3.08,5.13,7.04,0.44,2.64,6.89,18.04,19.21,8.5,4.25,5.87,10.85,2.79,100.0,0.44
writeIns,33.0,3.03,12.12,3.03,3.03,6.06,6.06,15.15,0.0,3.03,9.09,3.03,3.03,12.12,0.0,6.06,6.06,3.03,6.06,0.0,3.03,3.03,100.0
