Ballots with first choice:,Number of Ballots,"Benzan, Dennis A. ranked in top 3","Carlone, Dennis J. ranked in top 3","Cheung, Leland ranked in top 3","House, Janneke Ann ranked in top 3","Kelley, Craig A. ranked in top 3","Lee, James ranked in top 3","Leslie, Logan Edward ranked in top 3","Maher, David P. ranked in top 3","Mazen, Nadeem A. ranked in top 3","McGovern, Marc C. ranked in top 3","Mello, Gary W. ranked in top 3","Mirza, Mushtaque A. ranked in top 3","Moree, Gregg J. ranked in top 3","Peden, Ronald ranked in top 3","Phillips, Lesley Rebecca ranked in top 3","Reeves, Kenneth E. ranked in top 3","Seidel, Sam ranked in top 3","Simmons, E. Denise ranked in top 3","Smith, Jefferson R. ranked in top 3","Toomey, Jr., Timothy J. ranked in top 3","Vasquez, Luis ranked in top 3","Von Hoffmann, Kristen Lane ranked in top 3","Williamson, James M. ranked in top 3","Yarden, Elie ranked in top 3","vanBeuzekom, Minka Y. ranked in top 3",writeIns ranked in top 3
"Benzan, Dennis A.",1300.0,100.0,8.15,18.46,3.85,7.15,2.0,1.15,9.38,9.15,16.77,0.92,1.69,0.23,0.85,1.08,22.31,5.38,25.15,4.62,10.38,8.62,3.0,0.77,1.31,8.62,0.08
"Carlone, Dennis J.",1151.0,8.69,100.0,18.25,21.29,17.03,1.3,0.96,6.86,31.89,12.25,1.91,1.91,0.43,0.61,0.87,2.95,12.08,7.12,4.69,3.21,2.61,6.43,1.04,1.65,24.76,0.0
"Cheung, Leland",2391.0,7.15,6.9,100.0,6.98,15.14,2.59,2.55,18.03,8.82,17.02,1.13,2.63,0.42,0.67,2.09,13.72,14.3,18.86,8.28,9.2,2.34,6.11,0.42,0.75,16.9,0.21
"House, Janneke Ann",409.0,8.07,22.98,23.23,100.0,12.71,1.96,2.93,6.85,26.16,7.33,0.73,2.44,0.0,0.24,3.42,4.65,12.47,9.05,8.56,3.18,1.96,8.07,0.73,2.44,17.85,0.0
"Kelley, Craig A.",1093.0,8.87,15.55,29.73,7.5,100.0,1.65,2.1,14.18,10.98,11.99,1.01,1.28,0.91,0.55,1.65,6.86,15.0,11.53,5.03,5.95,1.46,7.23,0.37,1.56,20.04,0.18
"Lee, James",91.0,4.4,5.49,28.57,2.2,2.2,100.0,8.79,5.49,18.68,9.89,1.1,3.3,2.2,1.1,1.1,10.99,7.69,15.38,8.79,8.79,2.2,7.69,1.1,1.1,13.19,2.2
"Leslie, Logan Edward",504.0,5.16,4.76,21.23,7.54,8.33,3.77,100.0,15.08,5.95,7.14,4.76,1.59,2.18,1.79,2.38,4.96,4.17,3.97,2.78,10.91,2.38,3.37,0.79,0.4,5.16,1.39
"Maher, David P.",1463.0,7.45,3.49,26.38,2.94,10.25,0.55,3.62,100.0,2.73,17.16,0.68,0.55,1.03,1.03,1.03,11.96,11.41,15.24,3.21,37.87,1.64,2.39,0.27,0.21,5.13,0.07
"Mazen, Nadeem A.",985.0,7.92,21.42,20.81,19.19,9.75,2.03,1.22,3.45,100.0,9.85,1.22,12.59,0.41,1.42,1.83,6.9,7.41,9.85,6.19,3.65,8.12,5.58,1.62,1.83,13.71,0.61
"McGovern, Marc C.",1187.0,17.44,7.33,29.82,5.05,8.93,1.43,1.01,17.19,7.75,100.0,0.76,1.35,0.67,0.34,1.01,9.6,14.32,18.2,9.6,6.15,4.13,6.49,0.51,0.59,13.9,0.08
"Mello, Gary W.",107.0,8.41,25.23,24.3,3.74,16.82,4.67,13.08,5.61,12.15,6.54,100.0,8.41,4.67,3.74,0.0,2.8,7.48,1.87,1.87,3.74,3.74,0.0,1.87,0.93,15.89,0.93
"Mirza, Mushtaque A.",283.0,1.06,6.36,9.19,0.71,3.18,2.12,0.71,6.01,35.69,8.13,2.12,100.0,1.06,1.06,1.41,5.3,2.83,9.54,2.83,6.01,3.53,3.53,2.47,0.71,8.48,0.35
"Moree, Gregg J.",37.0,5.41,0.0,10.81,2.7,5.41,0.0,2.7,10.81,8.11,5.41,5.41,0.0,100.0,5.41,2.7,10.81,10.81,13.51,2.7,24.32,5.41,0.0,0.0,0.0,5.41,0.0
"Peden, Ronald",49.0,6.12,2.04,10.2,2.04,10.2,2.04,4.08,0.0,6.12,6.12,2.04,12.24,4.08,100.0,16.33,18.37,8.16,18.37,4.08,2.04,6.12,2.04,4.08,6.12,8.16,0.0
"Phillips, Lesley Rebecca",82.0,6.1,2.44,12.2,9.76,7.32,2.44,1.22,6.1,9.76,6.1,3.66,7.32,0.0,2.44,100.0,9.76,15.85,19.51,3.66,4.88,3.66,15.85,1.22,10.98,13.41,0.0
